Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Nordsandvassdraget;185.81Z;1993;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1994;0.55;;;5;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1995;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1996;0.55;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1997;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1998;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;1999;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2000;0.55;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2001;0.55;;0.5;;;FALSE;21;0;0;17;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2002;0.55;;0.5;;;FALSE;9;0;0;8;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2003;0.55;;0.5;;;FALSE;6;0;0;5;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2004;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2005;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2006;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2007;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2008;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2009;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2010;0.55;;0.5;;;FALSE;28;0;0;23;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2011;0.55;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2012;0.55;;;5;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2013;0.55;;0.5;;;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2014;0.55;;0.5;;;FALSE;5;0;0;4;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2015;0.55;;0.5;;;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2016;0.55;;0.5;;;FALSE;19;0;0;11;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2017;0.55;;0.5;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2018;0.55;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2019;0.55;;;5;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2020;0.55;;0.5;;;FALSE;15.9;0;0;15;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2021;0.55;;0.5;;;FALSE;43;0;0;30;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2022;0.55;;0.5;;;FALSE;10;0;0;8;0;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2023;0.55;;;5;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Nordsandvassdraget;185.81Z;2024;0.55;;0.3;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
