Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Melavassdraget;186.51Z;1993;0.59;;0.4;;;FALSE;13;3;0;8;1;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1994;0.59;;0.4;;;FALSE;12;0;0;6;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1995;0.59;;0.4;;;FALSE;36;0;0;24;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1996;0.59;;0.4;;;FALSE;22;0;0;15;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1997;0.59;;0.4;;;FALSE;49;9;0;28;2;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1998;0.59;;0.3;;;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;1999;0.59;;0.3;;;FALSE;8;10;0;5;3;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2000;0.59;;0.4;;;FALSE;19;0;0;12;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2001;0.59;;0.4;;;FALSE;120;84;0;80;23;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2002;0.59;;0.4;;;FALSE;15;6;0;13;2;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2003;0.59;;0.4;;;FALSE;23;5;0;9;1;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2004;0.59;;0.4;;;FALSE;25;0;0;15;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2005;0.59;;0.4;;;FALSE;78;0;0;39;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2006;0.59;;0.4;;;FALSE;25;14;0;15;4;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2007;0.59;;0.4;;;FALSE;22;14;0;13;4;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2008;0.59;;0.4;;;FALSE;5;4;0;3;1;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2009;0.59;;0.4;;;FALSE;16;7;0;10;2;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2010;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2011;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2012;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2013;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2014;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2015;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2016;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2017;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2018;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2019;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2020;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2021;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2022;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2023;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Melavassdraget;186.51Z;2024;0.59;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
