Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Stavevassdraget;186.61Z;1993;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1994;0.58;NA;0.5;NA;NA;FALSE;160;110;0;82;31;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1995;0.58;NA;0.5;NA;NA;FALSE;60;0;0;39;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1996;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1997;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1998;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;1999;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2000;0.58;NA;0.5;NA;NA;FALSE;86;59;0;44;17;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2001;0.58;NA;0.5;NA;NA;FALSE;156;17;0;87;5;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2002;0.58;NA;0.5;NA;NA;FALSE;24;11;0;18;3;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2003;0.58;NA;0.5;NA;NA;FALSE;93;22;0;56;5;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2004;0.58;NA;0.5;NA;NA;FALSE;12;0;0;6;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2005;0.58;NA;0.5;NA;NA;FALSE;156;11;0;81;3;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2006;0.58;NA;0.5;NA;NA;FALSE;103;0;0;53;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2007;0.58;NA;0.5;NA;NA;FALSE;21;0;0;10;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2008;0.58;NA;0.5;NA;NA;FALSE;13;0;0;7;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2009;0.58;NA;0.5;NA;NA;FALSE;39;0;0;21;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2010;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2011;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2012;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2013;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2014;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2015;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2016;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2017;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2018;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2019;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2020;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2021;0.58;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Stavevassdraget;186.61Z;2022;0.58;NA;0.3;NA;NA;FALSE;16;7;0;9;2;0;2;0;0;1;0;0
Stavevassdraget;186.61Z;2023;0.58;NA;0.3;NA;NA;FALSE;10;4;0;7;1;0;3;0;0;2;0;0
