Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Spansdalselva;190.7Z;1993;0.64;0.75;;;;FALSE;11;0;0;6;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1994;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1995;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1996;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1997;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1998;0.64;0.75;;;;FALSE;0;18;0;0;6;0;0;0;0;0;0;0
Spansdalselva;190.7Z;1999;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2000;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2001;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2002;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2003;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2004;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2005;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2006;0.64;;0.3;;;FALSE;20;121;7;7;24;1;0;0;0;0;0;0
Spansdalselva;190.7Z;2007;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2008;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2009;0.64;0.75;;;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2010;0.64;0.75;;;;FALSE;0;0;0;0;0;0;26;30;54;14;7;6
Spansdalselva;190.7Z;2011;0.64;0.75;;;;FALSE;0;0;0;0;0;0;39;94;56;22;20;7
Spansdalselva;190.7Z;2012;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;11;0;0;1
Spansdalselva;190.7Z;2013;0.64;0.75;;;;FALSE;0;0;0;0;0;0;5;0;0;3;0;0
Spansdalselva;190.7Z;2014;0.64;0.75;;;;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2015;0.64;0.75;;;;FALSE;0;0;0;0;0;0;4;0;0;4;0;0
Spansdalselva;190.7Z;2016;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;43;0;0;8;0
Spansdalselva;190.7Z;2017;0.64;0.75;;;;FALSE;0;0;0;0;0;0;14;12;15;10;2;2
Spansdalselva;190.7Z;2018;0.64;0.75;;;;FALSE;0;0;0;0;0;0;29;40;8;14;10;1
Spansdalselva;190.7Z;2019;0.64;0.75;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Spansdalselva;190.7Z;2020;0.64;0.75;;;;FALSE;0;0;0;0;0;0;7.8;26;0;5;7;0
Spansdalselva;190.7Z;2021;0.64;0.75;;;;FALSE;0;0;0;0;0;0;1;8;0;1;2;0
Spansdalselva;190.7Z;2022;0.64;0.75;;;;FALSE;0;0;0;0;0;0;2;0;10;1;0;1
Spansdalselva;190.7Z;2023;0.64;0.75;;;;FALSE;0;0;0;0;0;0;7;0;0;3;0;0
Spansdalselva;190.7Z;2024;0.64;0.75;;;;FALSE;0;0;0;0;0;0;26;0;0;12;0;0
