Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Vardnesvassdraget;194.61Z;1993;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1994;0.56;0.8;NA;NA;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1995;0.56;NA;NA;0.4;NA;FALSE;17;0;0;12;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1996;0.56;NA;NA;0.4;NA;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1997;0.56;NA;NA;0.4;NA;FALSE;16;0;0;13;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1998;0.56;0.8;NA;NA;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;1999;0.56;NA;NA;0.4;NA;FALSE;19;5;0;14;1;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2000;0.56;NA;NA;0.4;NA;FALSE;17;0;0;9;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2001;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2002;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2003;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2004;0.56;0.8;NA;NA;NA;FALSE;5;0;0;4;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2005;0.56;0.8;NA;NA;NA;FALSE;10;0;0;7;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2006;0.56;0.8;NA;NA;NA;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2007;0.56;0.8;NA;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2008;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2009;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2010;0.56;0.8;NA;NA;NA;FALSE;8;4;0;6;1;0;1;4;0;1;1;0
Vardnesvassdraget;194.61Z;2011;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2012;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2013;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2014;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2015;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;1;0;0;1;0;0
Vardnesvassdraget;194.61Z;2016;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;4;0;0;2;0;0
Vardnesvassdraget;194.61Z;2017;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2018;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2019;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2020;0.56;0.8;NA;NA;NA;FALSE;1;7.5;0;1;2;0;1.5;0;0;1;0;0
Vardnesvassdraget;194.61Z;2021;0.56;0.8;NA;NA;NA;FALSE;3;0;0;2;0;0;1;0;0;1;0;0
Vardnesvassdraget;194.61Z;2022;0.56;0.8;NA;NA;NA;FALSE;6;0;0;5;0;0;0;0;0;0;0;0
Vardnesvassdraget;194.61Z;2023;0.56;0.8;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
