Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Å-vassdraget (Tranøy);194.81Z;1993;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1994;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1995;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1996;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1997;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1998;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;1999;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2000;0.62;;;20;;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2001;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2002;0.62;;;20;;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2003;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2004;0.62;;;20;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2005;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2006;0.62;;;20;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2007;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2008;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2009;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2010;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2011;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2012;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2013;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2014;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2015;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2016;0.62;;;20;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2017;0.62;;;20;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2018;0.62;;;20;;FALSE;4;4;0;2;1;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2019;0.62;;;46;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2020;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2021;0.62;;;20;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2022;0.62;;;20;;FALSE;18;11;0;7;3;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2023;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Å-vassdraget (Tranøy);194.81Z;2024;0.62;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
