Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Bunkanvassdraget;195.1Z;1993;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1994;0.6;;0.3;;;FALSE;6;0;0;3;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1995;0.6;;0.3;;;FALSE;11;0;0;8;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1996;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1997;0.6;;0.3;;;FALSE;6;4;0;4;1;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1998;0.6;;0.3;;;FALSE;7;3;0;4;1;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;1999;0.6;;0.5;;;FALSE;33;16;0;26;4;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2000;0.6;;0.5;;;FALSE;32;25;0;19;7;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2001;0.6;;0.5;;;FALSE;29;9;0;21;2;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2002;0.6;;0.3;;;FALSE;5;3;0;4;1;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2003;0.6;;0.5;;;FALSE;22;8;0;14;2;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2004;0.6;;0.5;;;FALSE;25;32;0;15;7;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2005;0.6;;0.5;;;FALSE;50;21;0;31;6;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2006;0.6;;0.5;;;FALSE;57;38;0;37;11;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2007;0.6;;0.5;;;FALSE;10;0;0;6;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2008;0.6;0.74;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2009;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2010;0.6;;0.5;;;FALSE;35;4;0;18;1;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2011;0.6;;0.5;;;FALSE;13;0;0;8;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2012;0.6;;0.5;;;FALSE;10;7;0;5;2;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2013;0.6;;0.5;;;FALSE;22;0;0;15;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2014;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2015;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2016;0.6;;0.5;;;FALSE;25;26;0;16;7;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2017;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2018;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2019;0.6;0.74;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bunkanvassdraget;195.1Z;2020;0.6;;0.5;;;FALSE;29;3;0;19;1;0;20;21;0;14;6;0
Bunkanvassdraget;195.1Z;2021;0.6;0.74;;;;FALSE;0;0;0;0;0;0;77;3;0;41;1;0
Bunkanvassdraget;195.1Z;2022;0.6;0.74;;;;FALSE;0;0;0;0;0;0;34;5;0;21;1;0
Bunkanvassdraget;195.1Z;2023;0.6;0.74;;;;FALSE;0;0;0;0;0;0;14;5;0;8;1;0
Bunkanvassdraget;195.1Z;2024;0.6;0.74;;;;FALSE;0;0;0;0;0;0;15;0;0;9;0;0
