Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Tromvikvassdraget;197.63Z;1993;0.57;NA;0.3;NA;NA;FALSE;22;0;0;16;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1994;0.57;NA;0.3;NA;NA;FALSE;30;0;0;20;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1995;0.57;NA;0.3;NA;NA;FALSE;53;12;0;33;3;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1996;0.57;NA;0.3;NA;NA;FALSE;46;0;0;31;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1997;0.57;NA;0.3;NA;NA;FALSE;39;3;0;28;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1998;0.57;NA;0.3;NA;NA;FALSE;18;0;0;14;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;1999;0.57;NA;0.3;NA;NA;FALSE;49;3;0;36;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2000;0.57;NA;0.3;NA;NA;FALSE;28;10;0;18;3;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2001;0.57;NA;0.3;NA;NA;FALSE;43;3;0;29;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2002;0.57;NA;0.3;NA;NA;FALSE;24;4;0;14;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2003;0.57;NA;0.3;NA;NA;FALSE;43;0;0;23;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2004;0.57;NA;0.3;NA;NA;FALSE;12;9;0;9;2;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2005;0.57;NA;0.3;NA;NA;FALSE;35;0;0;23;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2006;0.57;NA;0.3;NA;NA;FALSE;22;7;0;11;2;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2007;0.57;NA;0.3;NA;NA;FALSE;10;3;0;6;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2008;0.57;NA;0.3;NA;NA;FALSE;21;3;0;15;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2009;0.57;NA;0.3;NA;NA;FALSE;12;4;0;6;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2010;0.57;NA;0.3;NA;NA;FALSE;14;0;0;8;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2011;0.57;NA;0.3;NA;NA;FALSE;15;0;0;14;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2012;0.57;NA;0.5;NA;NA;FALSE;72;15;0;48;4;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2013;0.57;NA;0.5;NA;NA;FALSE;40;11;0;29;3;0;2;0;0;1;0;0
Tromvikvassdraget;197.63Z;2014;0.57;NA;0.5;NA;NA;FALSE;48;11;0;35;3;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2015;0.57;NA;0.5;NA;NA;FALSE;46;10;0;34;3;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2016;0.57;NA;0.5;NA;NA;FALSE;40;16;0;35;4;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2017;0.57;NA;0.5;NA;NA;FALSE;21;3;0;15;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2018;0.57;NA;0.5;NA;NA;FALSE;19;8;0;9;2;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2019;0.57;NA;0.3;NA;NA;FALSE;7;4;0;5;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2020;0.57;NA;0.5;NA;NA;FALSE;33;3.2;0;22;1;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2021;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2022;0.57;NA;0.5;NA;NA;FALSE;52;30;0;33;8;0;0;0;0;0;0;0
Tromvikvassdraget;197.63Z;2023;0.57;NA;0.3;NA;NA;FALSE;18;0;0;11;0;0;0;0;0;0;0;0
