Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Tømmerelvvassdraget (Balsfjord);198.42Z;1993;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1994;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1995;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1996;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1997;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1998;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;1999;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2000;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2001;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2002;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2003;0.64;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2004;0.64;NA;0.31;NA;NA;FALSE;2;0;9;1;0;1;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2005;0.64;NA;0.31;NA;NA;FALSE;6;8;0;4;2;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2006;0.64;NA;0.31;NA;NA;FALSE;4;3;0;3;1;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2007;0.64;NA;0.31;NA;NA;FALSE;4;20;0;2;5;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2008;0.64;NA;0.31;NA;NA;FALSE;12;19;0;6;4;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2009;0.64;NA;0.31;NA;NA;FALSE;4;27;0;2;6;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2010;0.64;NA;0.31;NA;NA;FALSE;8;11;0;4;2;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2011;0.64;NA;0.2;NA;NA;FALSE;2;3;0;1;1;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2012;0.64;NA;0.31;NA;NA;FALSE;6;17;0;3;4;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2013;0.64;NA;0.2;NA;NA;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2014;0.64;NA;0.31;NA;NA;FALSE;4;7;0;2;2;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2015;0.64;NA;0.31;NA;NA;FALSE;27;12;8;14;3;1;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2016;0.64;NA;0.31;NA;NA;FALSE;24;43;24;14;11;3;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2017;0.64;NA;0.31;NA;NA;FALSE;20;47;0;10;11;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2018;0.64;NA;0.31;NA;NA;FALSE;11;9;15;8;2;2;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2019;0.64;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2020;0.64;NA;0.5;NA;NA;FALSE;17.2;58.5;78.1;15;12;8;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2021;0.64;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2022;0.64;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tømmerelvvassdraget (Balsfjord);198.42Z;2023;0.64;NA;0.5;NA;NA;FALSE;25;19;28;17;4;3;0;0;0;0;0;0
