Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Tønsvikelva;199.2Z;1993;0.6;;0.4;;;FALSE;21;4;0;12;1;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;1994;0.6;;0.4;;;FALSE;110;4;0;52;1;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;1995;0.6;;0.4;;;FALSE;16;9;17;10;3;2;0;0;0;0;0;0
Tønsvikelva;199.2Z;1996;0.6;;0.4;;;FALSE;15;0;0;9;0;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;1997;0.6;;0.4;;;FALSE;18;7;0;9;1;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;1998;0.6;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;1999;0.6;;0.4;;;FALSE;14;6;0;6;1;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2000;0.6;;0.4;;;FALSE;31;8;0;12;2;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2001;0.6;;0.4;;;FALSE;22;24;8;8;6;1;0;0;0;0;0;0
Tønsvikelva;199.2Z;2002;0.6;;0.4;;;FALSE;24;41;8;11;10;1;0;0;0;0;0;0
Tønsvikelva;199.2Z;2003;0.6;;0.4;;;FALSE;18;32;8;9;7;1;0;0;0;0;0;0
Tønsvikelva;199.2Z;2004;0.6;;0.4;;;FALSE;13;10;0;8;3;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2005;0.6;;0.4;;;FALSE;25;14;0;9;4;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2006;0.6;;0.4;;;FALSE;12;14;0;7;3;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2007;0.6;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2008;0.6;;0.4;;;FALSE;17;24;0;10;5;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2009;0.6;0.5;;;;FALSE;3;0;18;2;0;2;0;0;0;0;0;0
Tønsvikelva;199.2Z;2010;0.6;;0.4;;;FALSE;32;14;14;18;4;2;0;0;0;0;0;0
Tønsvikelva;199.2Z;2011;0.6;;0.4;;;FALSE;20;0;0;13;0;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2012;0.6;;0.4;;;FALSE;30;34;0;15;9;0;0;0;0;0;0;0
Tønsvikelva;199.2Z;2013;0.6;;0.4;;;FALSE;26;37;0;19;10;0;5;0;0;3;0;0
Tønsvikelva;199.2Z;2014;0.6;;0.4;;;FALSE;14;8;0;8;2;0;2;4;0;1;1;0
Tønsvikelva;199.2Z;2015;0.6;;0.4;;;FALSE;50;26;0;33;7;0;7;6;0;4;1;0
Tønsvikelva;199.2Z;2016;0.6;;0.4;;;FALSE;22;42;0;13;10;0;8;7;0;5;2;0
Tønsvikelva;199.2Z;2017;0.6;;0.4;;;FALSE;25;41;9;15;10;1;11;0;0;6;0;0
Tønsvikelva;199.2Z;2018;0.6;;0.4;;;FALSE;15;30;7;8;8;1;7;0;0;4;0;0
Tønsvikelva;199.2Z;2019;0.6;;0.4;;;FALSE;41;25;0;23;6;0;4;0;0;3;0;0
Tønsvikelva;199.2Z;2020;0.6;;0.4;;;FALSE;77.5;47.5;0;50;12;0;15.8;0;0;11;0;0
Tønsvikelva;199.2Z;2021;0.6;;0.4;;;FALSE;32;85;18;23;22;2;4;5;0;3;1;0
Tønsvikelva;199.2Z;2022;0.6;;0.4;;;FALSE;64;43;7;35;10;1;7;0;0;3;0;0
Tønsvikelva;199.2Z;2023;0.6;;0.4;;;FALSE;26;19;10;15;5;1;0;0;0;0;0;0
Tønsvikelva;199.2Z;2024;0.6;0.5;;;;FALSE;4;4;0;2;1;0;0;0;0;0;0;0
