Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Skittenelva;199.3Z;1993;0.6;NA;0.4;NA;NA;FALSE;16;4;0;7;1;0;0;0;0;0;0;0
Skittenelva;199.3Z;1994;0.6;NA;0.4;NA;NA;FALSE;11;0;0;6;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;1995;0.6;NA;0.4;NA;NA;FALSE;19;0;0;9;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;1996;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;1997;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;1998;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;1999;0.6;NA;0.4;NA;NA;FALSE;8;0;0;4;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2000;0.6;NA;0.4;NA;NA;FALSE;5;4;0;3;1;0;0;0;0;0;0;0
Skittenelva;199.3Z;2001;0.6;NA;0.4;NA;NA;FALSE;0;27;0;0;9;0;0;0;0;0;0;0
Skittenelva;199.3Z;2002;0.6;NA;0.4;NA;NA;FALSE;26;26;8;12;7;1;0;0;0;0;0;0
Skittenelva;199.3Z;2003;0.6;NA;0.4;NA;NA;FALSE;21;0;0;11;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2004;0.6;NA;0.4;NA;NA;FALSE;8;7;0;6;2;0;0;0;0;0;0;0
Skittenelva;199.3Z;2005;0.6;NA;0.4;NA;NA;FALSE;6;0;0;4;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2006;0.6;NA;0.4;NA;NA;FALSE;5;6;0;3;2;0;0;0;0;0;0;0
Skittenelva;199.3Z;2007;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2008;0.6;NA;0.4;NA;NA;FALSE;9;5;0;5;1;0;0;0;0;0;0;0
Skittenelva;199.3Z;2009;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2010;0.6;NA;0.4;NA;NA;FALSE;2;3;9;1;1;1;0;0;0;0;0;0
Skittenelva;199.3Z;2011;0.6;NA;0.4;NA;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2012;0.6;NA;0.4;NA;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2013;0.6;NA;0.4;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2014;0.6;NA;0.4;NA;NA;FALSE;8;0;0;4;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2015;0.6;NA;0.4;NA;NA;FALSE;16;11;0;9;3;0;1;3;0;1;1;0
Skittenelva;199.3Z;2016;0.6;NA;0.4;NA;NA;FALSE;4;15;0;2;3;0;4;0;0;3;0;0
Skittenelva;199.3Z;2017;0.6;NA;0.4;NA;NA;FALSE;14;7;0;8;2;0;2;0;0;1;0;0
Skittenelva;199.3Z;2018;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skittenelva;199.3Z;2019;0.6;NA;0.4;NA;NA;FALSE;7;0;0;4;0;0;1;0;0;2;0;0
Skittenelva;199.3Z;2020;0.6;NA;0.4;NA;NA;FALSE;7.7;3.5;0;6;1;0;2.5;0;0;1;0;0
Skittenelva;199.3Z;2021;0.6;NA;0.4;NA;NA;FALSE;9;5;0;5;1;0;2;0;0;2;0;0
Skittenelva;199.3Z;2022;0.6;NA;0.4;NA;NA;FALSE;14;0;0;8;0;0;4;0;0;2;0;0
Skittenelva;199.3Z;2023;0.6;0.3;NA;NA;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
