Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Jægervatnvassdraget;203.8Z;1993;0.61;;0.4;;;FALSE;15;0;0;11;0;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1994;0.61;;0.4;;;FALSE;24;9;0;14;2;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1995;0.61;;0.4;;;FALSE;20;12;9;13;3;1;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1996;0.61;;0.4;;;FALSE;31;19;28;16;5;3;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1997;0.61;;0.4;;;FALSE;22;8;8;11;2;1;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1998;0.61;;0.4;;;FALSE;7;49;0;6;11;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;1999;0.61;;0.4;;;FALSE;55;121;31;24;21;4;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2000;0.61;;0.4;;;FALSE;42;36;0;21;9;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2001;0.61;;0.4;;;FALSE;23;25;0;13;5;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2002;0.61;;0.4;;;FALSE;110;85;59;91;16;7;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2003;0.61;;0.4;;;FALSE;65;55;50;39;14;6;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2004;0.61;;0.4;;;FALSE;43;70;30;27;15;4;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2005;0.61;;0.4;;;FALSE;222;103;25;111;23;3;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2006;0.61;;0.4;;;FALSE;138;144;65;69;31;8;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2007;0.61;;0.4;;;FALSE;44;116;99;25;28;11;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2008;0.61;;0.4;;;FALSE;55;76;51;26;16;5;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2009;0.61;;0.4;;;FALSE;24;86;7;13;18;1;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2010;0.61;;0.4;;;FALSE;53;28;8;25;6;1;3;0;0;1;0;0
Jægervatnvassdraget;203.8Z;2011;0.61;;0.4;;;FALSE;19;31;25;10;8;3;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2012;0.61;;0.4;;;FALSE;37;16;0;19;4;0;1;0;0;1;0;0
Jægervatnvassdraget;203.8Z;2013;0.61;;0.4;;;FALSE;32;62;18;22;15;2;3;10;0;2;2;0
Jægervatnvassdraget;203.8Z;2014;0.61;;0.4;;;FALSE;46;56;23;27;12;3;1;0;0;1;0;0
Jægervatnvassdraget;203.8Z;2015;0.61;;0.4;;;FALSE;52;69;24;28;16;2;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2016;0.61;;0.4;;;FALSE;32;67;30;19;15;4;0;4;0;0;1;0
Jægervatnvassdraget;203.8Z;2017;0.61;;0.4;;;FALSE;31;54;8;18;13;1;2;6;0;1;2;0
Jægervatnvassdraget;203.8Z;2018;0.61;;0.4;;;FALSE;43;60;7;21;14;1;2;4;8;1;1;1
Jægervatnvassdraget;203.8Z;2019;0.61;;0.4;;;FALSE;27;76;37;16;15;5;4;0;0;3;0;0
Jægervatnvassdraget;203.8Z;2020;0.61;;0.4;;;FALSE;15.6;45.9;15.5;9;10;2;5.5;0;0;3;0;0
Jægervatnvassdraget;203.8Z;2021;0.61;;0.4;;;FALSE;67;41;32;33;11;4;2;0;0;1;0;0
Jægervatnvassdraget;203.8Z;2022;0.61;;0.4;;;FALSE;19;45;15;9;10;2;4;0;0;2;0;0
Jægervatnvassdraget;203.8Z;2023;0.61;;0.4;;;FALSE;58;17;0;28;5;0;0;0;0;0;0;0
Jægervatnvassdraget;203.8Z;2024;0.61;;0.4;;;FALSE;33;9;0;18;2;0;9;4;0;7;1;0
