Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Rotsundelva;206.5Z;1993;0.61;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rotsundelva;206.5Z;1994;0.61;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rotsundelva;206.5Z;1995;0.61;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rotsundelva;206.5Z;1996;0.61;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rotsundelva;206.5Z;1997;0.61;;0.4;;;FALSE;6;26;0;5;5;0;0;0;0;0;0;0
Rotsundelva;206.5Z;1998;0.61;;0.4;;;FALSE;96;80;46;47;18;6;0;0;0;0;0;0
Rotsundelva;206.5Z;1999;0.61;;0.4;;;FALSE;13;147;47;7;29;6;0;0;0;0;0;0
Rotsundelva;206.5Z;2000;0.61;;0.4;;;FALSE;24;39;32;12;8;4;0;0;0;0;0;0
Rotsundelva;206.5Z;2001;0.61;;0.4;;;FALSE;17;13;41;9;3;5;0;0;0;0;0;0
Rotsundelva;206.5Z;2002;0.61;;0.4;;;FALSE;35;19;49;19;4;6;0;0;0;0;0;0
Rotsundelva;206.5Z;2003;0.61;;0.4;;;FALSE;16;16;0;9;4;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2004;0.61;;0.4;;;FALSE;12;11;0;7;2;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2005;0.61;;0.4;;;FALSE;37;9;16;22;2;2;0;0;0;0;0;0
Rotsundelva;206.5Z;2006;0.61;;0.4;;;FALSE;13;3;34;7;1;2;0;0;0;0;0;0
Rotsundelva;206.5Z;2007;0.61;;0.4;;;FALSE;27;114;75;16;25;9;0;0;0;0;0;0
Rotsundelva;206.5Z;2008;0.61;;0.4;;;FALSE;26;73;58;14;14;7;0;0;0;0;0;0
Rotsundelva;206.5Z;2009;0.61;;0.4;;;FALSE;19;15;11;12;3;1;0;0;0;0;0;0
Rotsundelva;206.5Z;2010;0.61;;0.4;;;FALSE;4;11;0;3;3;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2011;0.61;;0.4;;;FALSE;7;4;23;5;1;3;0;0;0;0;0;0
Rotsundelva;206.5Z;2012;0.61;;0.4;;;FALSE;6;54;0;3;11;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2013;0.61;;0.4;;;FALSE;4;11;7;2;2;1;6;39;0;3;9;0
Rotsundelva;206.5Z;2014;0.61;;0.4;;;FALSE;17;55;18;9;12;2;7;25;0;4;5;0
Rotsundelva;206.5Z;2015;0.61;0.6;;;;FALSE;0;0;0;0;0;0;40;47;18;17;11;2
Rotsundelva;206.5Z;2016;0.61;;0.4;;;FALSE;50;140;16;26;27;2;0;0;0;0;0;0
Rotsundelva;206.5Z;2017;0.61;;0.4;;;FALSE;6;28;32;4;6;4;0;0;0;0;0;0
Rotsundelva;206.5Z;2018;0.61;;0.4;;;FALSE;31;12;25;15;3;3;2;0;0;1;0;0
Rotsundelva;206.5Z;2019;0.61;;0.4;;;FALSE;19;0;23;10;0;3;2;0;0;1;0;0
Rotsundelva;206.5Z;2020;0.61;;0.4;;;FALSE;57.9;17.5;0;33;3;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2021;0.61;;0.4;;;FALSE;23;5;0;11;1;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2022;0.61;;0.4;;;FALSE;19;18;16;11;4;2;0;0;0;0;0;0
Rotsundelva;206.5Z;2023;0.61;;0.4;;;FALSE;39;25;0;19;6;0;0;0;0;0;0;0
Rotsundelva;206.5Z;2024;0.61;0.5;;;;FALSE;4;4;0;2;1;0;33;13;0;19;3;0
