Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Badderelva;209.8Z;1993;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1994;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1995;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1996;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1997;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1998;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;1999;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2000;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2001;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2002;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2003;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2004;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2005;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2006;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2007;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2008;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2009;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2010;0.6;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Badderelva;209.8Z;2011;0.6;;0.4;;;FALSE;74;35;10;37;7;1;0;0;0;0;0;0
Badderelva;209.8Z;2012;0.6;;0.4;;;FALSE;177;50;22;105;10;2;0;0;0;0;0;0
Badderelva;209.8Z;2013;0.6;;0.4;;;FALSE;130;135;52;87;27;5;0;0;0;0;0;0
Badderelva;209.8Z;2014;0.6;;0.4;;;FALSE;37;25;10;21;5;1;0;0;0;0;0;0
Badderelva;209.8Z;2015;0.6;;0.4;;;FALSE;323;168;118;207;30;11;0;0;0;0;0;0
Badderelva;209.8Z;2016;0.6;;0.4;;;FALSE;164;95;131;79;21;15;0;0;0;0;0;0
Badderelva;209.8Z;2017;0.6;;0.4;;;FALSE;184;150;52;77;28;6;0;0;0;0;0;0
Badderelva;209.8Z;2018;0.6;;0.4;;;FALSE;122;133;102;61;24;12;0;0;0;0;0;0
Badderelva;209.8Z;2019;0.6;;0.4;;;FALSE;268;207;90;134;40;10;0;0;0;0;0;0
Badderelva;209.8Z;2020;0.6;;0.4;;;FALSE;120;160;123;60;32;11;3;0;0;3;0;0
Badderelva;209.8Z;2021;0.6;;0.4;;;FALSE;248;273;60;132;56;7;2;0;0;1;0;0
Badderelva;209.8Z;2022;0.6;;0.4;;;FALSE;138;174;105;89;44;15;1;0;0;1;0;0
Badderelva;209.8Z;2023;0.6;;0.4;;;FALSE;229;144;57;120;30;5;0;5;0;0;1;0
Badderelva;209.8Z;2024;0.6;;0.4;;;FALSE;86;55;63;42;10;8;7;6;0;4;2;0
