Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Sør-Tverrfjordelva;211.32Z;1993;0.59;;0.4;;;FALSE;10;18;0;6;4;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1994;0.59;;0.4;;;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1995;0.59;;0.4;;;FALSE;17;11;0;9;2;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1996;0.59;;0.4;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1997;0.59;;0.4;;;FALSE;15;22;20;8;4;2;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1998;0.59;;0.4;;;FALSE;13;4;0;7;1;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;1999;0.59;;0.4;;;FALSE;17;93;9;8;18;1;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2000;0.59;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2001;0.59;;0.4;;;FALSE;0;68;0;0;15;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2002;0.59;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2003;0.59;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2004;0.59;;0.4;;;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2005;0.59;;0.4;;;FALSE;25;21;17;14;5;2;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2006;0.59;;0.4;;;FALSE;12;11;20;6;3;2;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2007;0.59;;0.4;;;FALSE;5;9;18;3;2;2;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2008;0.59;;0.4;;;FALSE;13;6;0;5;1;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2009;0.59;;0.4;;;FALSE;10;9;0;6;2;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2010;0.59;;0.4;;;FALSE;0;12;0;0;3;0;6;12;0;3;3;0
Sør-Tverrfjordelva;211.32Z;2011;0.59;;;10;;FALSE;2;0;0;2;0;0;0;6;0;0;1;0
Sør-Tverrfjordelva;211.32Z;2012;0.59;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2013;0.59;;;10;;FALSE;6;4;0;4;1;0;14;0;0;8;0;0
Sør-Tverrfjordelva;211.32Z;2014;0.59;;0.4;;;FALSE;29;9;0;12;3;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2015;0.59;;0.4;;;FALSE;17;8;0;8;2;0;5;0;0;3;0;0
Sør-Tverrfjordelva;211.32Z;2016;0.59;;0.4;;;FALSE;2;13;11;1;2;1;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2017;0.59;;0.4;;;FALSE;1;23;10;1;6;1;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2018;0.59;;0.4;;;FALSE;4;18;0;2;5;0;5;0;0;2;0;0
Sør-Tverrfjordelva;211.32Z;2019;0.59;;0.4;;;FALSE;16;3;10;12;1;1;6;0;0;3;0;0
Sør-Tverrfjordelva;211.32Z;2020;0.59;;0.4;;;FALSE;12;7;0;6;2;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2021;0.59;;0.4;;;FALSE;5;20;0;3;5;0;0;3;0;0;1;0
Sør-Tverrfjordelva;211.32Z;2022;0.59;;0.4;;;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2023;0.59;;0.4;;;FALSE;6;8;0;3;2;0;0;0;0;0;0;0
Sør-Tverrfjordelva;211.32Z;2024;0.59;;0.4;;;FALSE;2;11;0;1;3;0;0;0;0;0;0;0
