Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Mathiselva;212.4Z;1993;0.58;0.002;;;;FALSE;7;0;14;4;0;2;0;0;0;0;0;0
Mathiselva;212.4Z;1994;0.58;0.002;;;;FALSE;17;0;7;12;0;1;0;0;0;0;0;0
Mathiselva;212.4Z;1995;0.58;0.002;;;;FALSE;59;8;0;37;2;0;0;0;0;0;0;0
Mathiselva;212.4Z;1996;0.58;0.002;;;;FALSE;25;6;7;16;1;1;0;0;0;0;0;0
Mathiselva;212.4Z;1997;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;1998;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;1999;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2000;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2001;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2002;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2003;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2004;0.58;0.002;;;;FALSE;6;0;0;7;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2005;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2006;0.58;0.002;;;;FALSE;2;4;0;1;1;0;0;0;0;0;0;0
Mathiselva;212.4Z;2007;0.58;0.002;;;;FALSE;5;0;0;2;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2008;0.58;0.002;;;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2009;0.58;0.002;;;;FALSE;0;0;0;0;0;0;10;0;0;6;0;0
Mathiselva;212.4Z;2010;0.58;0.002;;;;FALSE;2;0;0;1;0;0;30;5;0;22;1;0
Mathiselva;212.4Z;2011;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2012;0.58;0.002;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mathiselva;212.4Z;2013;0.58;0.002;;;;FALSE;8;0;0;6;0;0;7;0;0;5;0;0
Mathiselva;212.4Z;2014;0.58;0.002;;;;FALSE;0;0;0;0;0;0;5;4;0;3;1;0
Mathiselva;212.4Z;2015;0.58;0.002;;;;FALSE;5;0;0;3;0;0;34;0;0;19;0;0
Mathiselva;212.4Z;2016;0.58;0.002;;;;FALSE;9;0;0;5;0;0;29;15;0;16;3;0
Mathiselva;212.4Z;2017;0.58;0.002;;;;FALSE;4;4;0;2;1;0;2;4;0;1;1;0
Mathiselva;212.4Z;2018;0.58;0.002;;;;FALSE;46;16;0;26;4;0;0;0;0;0;0;0
Mathiselva;212.4Z;2019;0.58;0.002;;;;FALSE;6;0;0;3;0;0;2;0;0;1;0;0
Mathiselva;212.4Z;2020;0.58;0.002;;;;FALSE;0;0;0;0;0;0;10.8;6;0;10;1;0
Mathiselva;212.4Z;2021;0.58;0.002;;;;FALSE;0;0;0;0;0;0;8;0;0;4;0;0
Mathiselva;212.4Z;2022;0.58;0.002;;;;FALSE;12;9;0;8;2;0;9;0;0;6;0;0
Mathiselva;212.4Z;2023;0.58;0.002;;;;FALSE;7;3;0;4;1;0;6;0;0;4;0;0
Mathiselva;212.4Z;2024;0.58;0.002;;;;FALSE;20;10;0;11;3;0;31;0;0;19;0;0
