Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Sandfjordelva (Båtsfjord);238.Z;1993;0.55;;0.3;;;FALSE;30;7;8;19;2;1;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1994;0.55;;0.3;;;FALSE;13;4;0;6;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1995;0.55;;;50;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1996;0.55;;;50;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1997;0.55;;0.3;;;FALSE;10;4;0;7;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1998;0.55;;0.3;;;FALSE;13;4;0;6;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;1999;0.55;;;50;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2000;0.55;;0.3;;;FALSE;36;0;7;18;0;1;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2001;0.55;;0.3;;;FALSE;18;27;8;8;6;1;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2002;0.55;;;50;;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2003;0.55;;0.5;;;FALSE;39;4;0;22;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2004;0.55;;0.5;;;FALSE;28;13;8;18;3;1;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2005;0.55;;0.5;;;FALSE;49;4;0;26;1;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2006;0.55;;0.5;;;FALSE;221;44;0;117;11;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2007;0.55;;0.5;;;FALSE;38;29;7;22;7;1;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2008;0.55;;0.5;;;FALSE;84;49;0;49;13;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2009;0.55;;0.5;;;FALSE;30;21;0;16;6;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2010;0.55;;0.5;;;FALSE;120;79;19;63;19;2;0;12;8;0;3;1
Sandfjordelva (Båtsfjord);238.Z;2011;0.55;;;150;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sandfjordelva (Båtsfjord);238.Z;2012;0.55;;0.5;;;FALSE;207;305;30;104;70;3;40;50;8;20;11;1
Sandfjordelva (Båtsfjord);238.Z;2013;0.55;;0.5;;;FALSE;69;35;9;41;8;1;6;20;0;3;4;0
Sandfjordelva (Båtsfjord);238.Z;2014;0.55;;0.5;;;FALSE;159;133;7;96;31;1;25;25;0;10;5;0
Sandfjordelva (Båtsfjord);238.Z;2015;0.55;;0.5;;;FALSE;262;135;9;134;36;1;9;57;0;8;14;0
Sandfjordelva (Båtsfjord);238.Z;2016;0.55;;0.5;;;FALSE;112;169;0;64;42;0;20;35;0;9;10;0
Sandfjordelva (Båtsfjord);238.Z;2017;0.55;;0.5;;;FALSE;178;76;16;87;19;2;30;62;8;15;19;1
Sandfjordelva (Båtsfjord);238.Z;2018;0.55;;0.5;;;FALSE;182;155;8;101;33;1;19;29;0;14;5;0
Sandfjordelva (Båtsfjord);238.Z;2019;0.55;;0.5;;;FALSE;282;126;10;149;29;1;68;118;10;37;26;1
Sandfjordelva (Båtsfjord);238.Z;2020;0.55;;0.5;;;FALSE;106.8;155.8;0;68;35;0;45.8;146.7;0;25;31;0
Sandfjordelva (Båtsfjord);238.Z;2021;0.55;;0.5;;;FALSE;45;9;9;24;2;1;19;9;0;11;2;0
Sandfjordelva (Båtsfjord);238.Z;2022;0.55;;0.5;;;FALSE;135;55;0;67;16;0;131;59;14;70;13;2
Sandfjordelva (Båtsfjord);238.Z;2023;0.55;;0.5;;;FALSE;88;91;7;47;23;1;60;151;0;37;36;0
Sandfjordelva (Båtsfjord);238.Z;2024;0.55;;0.5;;;FALSE;75;65;0;43;13;0;60;84;0;37;19;0
