Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
999;046.1Z;Æneselva;x;x;x;1993;6;0;2;8;9;0;18;27;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1994;26;10;1;37;50;59;9;118;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1995;24;9;2;35;58;35;16;109;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1996;10;10;2;22;15;42;15;72;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1997;24;28;0;52;48;107;0;155;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1998;4;11;4;19;7;41;34;82;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;1999;16;18;0;34;30;82;0;112;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;2000;20;11;0;31;55;52;0;107;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;2001;45;25;2;72;76;108;17;201;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;046.1Z;Æneselva;x;x;x;2002;26;24;1;51;66;86;7;159;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.2413793;132.9310345;265.862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
