Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1993;63;1;0;64;92;3;0;95;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;344.362069;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1994;343;5;0;348;483;17;0;500;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1995;346;2;0;348;480;8;0;488;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1996;203;3;0;206;290;10;0;300;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1997;86;6;0;92;124;24;0;148;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1998;27;2;0;29;36;6;0;42;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;1999;76;4;0;80;112;17;0;129;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2000;162;23;0;185;262;85;0;347;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2001;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2003;10;8;0;18;15;34;0;48;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2004;6;0;0;6;7;0;0;7;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2005;423;2;1;426;639;8;7;654;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2006;160;3;0;163;235;14;0;249;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2007;40;0;0;40;74;0;0;74;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2008;20;1;0;21;33;5;0;38;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2009;56;2;0;58;118.6;9.3;0;127.9;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2010;183;1;0;184;272.3;4.2;0;276.5;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2011;101;4;1;106;155.3;19.4;7.1;181.8;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2012;83;2;0;85;143.6;8.7;0;152.3;0.55;0.7;0.55;0.3;0.4;0.5;0.3;0.4;0.5;0.3;0.4;0.5;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2013;41;8;0;49;86.2;26.8;0;113;0.55;0.7;0.55;0.3;0.34;0.37;0.3;0.34;0.37;0.3;0.34;0.37;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2014;17;2;0;19;31;7;0;38;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2015;60;8;0;68;104;29;0;133;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2016;62;4;0;66;106.7;20.1;0;126.8;0.55;0.7;0.55;0.2;0.3;0.35;0.1;0.13;0.2;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2017;66;5;0;71;115;21;0;136;0.55;0.7;0.55;0.2;0.3;0.35;0.1;0.13;0.2;0.05;0.1;0.2;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2018;83;3;0;86;130;14;0;144;0.55;0.7;0.55;0.05;0.18;0.25;0.05;0.13;0.2;0.04;0.1;0.18;240.5724138;180.4293103;300.7155173;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201851;185.1Z;Alsvågvassdraget;x;Nordland;?ksnes;2019;61;7;0;68;101.1;25;0;126.1;0.55;0.7;0.55;;;;;;;;;;240.5724138;180.4293103;300.7155173;0;0;0;;0;;32;5;1;38;45;22;7;74;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;;;;;;;;;;;;;
