Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200212;212.Z;Altaelva;x;Finnmark;Alta;1993;2399;176;1491;4066;5467;836;16753;23056;0.05;0.6;0.8;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;1;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1994;1004;82;742;1828;2093;410;8046;10549;0.05;0.6;0.8;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1995;1650;135;1198;2983;3348;643;12529;16520;0.05;0.6;0.8;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1996;1978;512;592;3082;4123;1949;6594;12666;0.05;0.6;0.8;0.545136434;0.630592029;0.716047625;0.445136434;0.530592029;0.616047625;0.445136434;0.530592029;0.616047625;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;1;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1997;1551;371;624;2546;3016;1600;6674;11290;0.05;0.6;0.8;0.463569455;0.548415411;0.633261366;0.363569455;0.448415411;0.533261366;0.363569455;0.448415411;0.533261366;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;3;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1998;987;310;525;1822;2022;1377;5763;9162;0.05;0.6;0.8;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;2;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;1999;1163;292;448;1903;2457;1157;4880;8494;0.05;0.6;0.8;0.306956466;0.374947936;0.442939405;0.206956466;0.274947936;0.342939405;0.206956466;0.274947936;0.342939405;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;3;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;2000;1752;612;595;2959;3666;2425;5945;12036;0.05;0.6;0.8;0.37253827;0.450438151;0.528338033;0.27253827;0.350438151;0.428338033;0.27253827;0.350438151;0.428338033;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;5;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;2001;1152;438;741;2331;2355;1963;7818;12136;0.05;0.6;0.8;0.415650368;0.497744828;0.579839288;0.315650368;0.397744828;0.479839288;0.315650368;0.397744828;0.479839288;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;2;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200212;212.Z;Altaelva;x;Finnmark;Alta;2002;1539;430;669;2638;3124;1680;7367;12171;0.05;0.6;0.8;0.242002534;0.295346467;0.348690401;0.142002534;0.195346467;0.248690401;0.142002534;0.195346467;0.248690401;12130.48936;9097.867021;15163.1117;NA;NA;NA;NA;6;NA;0;0;0;0;0;0;0;0;0.05;0.6;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
