Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1993;0;0;0;0;230;161;46;437;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1994;0;0;0;0;525;388;136;1049;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1995;271;32;1;304;437;147;12;596;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1996;367;29;3;399;609;145;27;781;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1997;136;62;0;198;181;285;0;466;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0.406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1998;944;61;88;1093;1406;238;749;2393;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;1999;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0.406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;2000;1103;116;5;1224;1853;535;35;2423;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;1.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;2001;431;52;3;486;689;242;23;954;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0.330814815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023;023.Z;Audna;Audnedalselva;Vest-Agder;Lindesnes;2002;543;0;0;543;1438;0;0;1438;0.4;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;1210;604.9689655;1814.906897;;;;;0.330814815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
