Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
209772;097.72Z;Aureelva;x;MR;Sykkylven;1993;12;3;0;15;17;12;0;29;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;6.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1994;533;3;1;537;798;13;9;820;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;7.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1995;380;19;1;400;561;75;7;643;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1996;129;13;1;143;181;51;8;240;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;11.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1997;21;1;0;22;30;3;0;33;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;17.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1998;357;4;0;361;510;18;0;528;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;6.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;1999;343;7;0;350;488;30;0;518;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;8.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2000;1369;140;2;1511;2280;598;14;2892;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;9.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2001;1020;62;1;1083;1626;251;8;1885;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;12.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2002;68;20;0;88;92;74;0;166;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;8.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2003;315;8;0;323;464;26;0;490;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2004;92;21;0;113;135;82;0;217;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;5.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2005;408;27;0;435;651;107;0;758;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;17;0;0;;6.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2006;45;19;0;64;70;69;0;139;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;15;0;0;;10.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2007;226;17;1;244;309;73;9;391;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;15;0;0;;6.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2008;191;55;1;247;309;220;8;537;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;322.8689655;242.1517241;403.5862069;15;0;0;;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2009;257;28;0;285;382;109;0;491;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;322.8689655;242.1517241;403.5862069;15;0;0;;7.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2010;664;77;1;742;1088;287;10.4;1385.4;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;322.8689655;242.1517241;403.5862069;;;;;7.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2011;332;201;3;536;576;805;27;1408;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;322.8689655;242.1517241;403.5862069;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2012;272;58;1;331;434;214;8.5;656.5;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;322.8689655;242.1517241;403.5862069;10;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2013;261;61;1;323;366;232;10.3;608.3;0.55;0.7;0.55;0.733146067;0.762202753;0.785553047;0.594155844;0.630723781;0.661246612;0.069767442;0.08045977;0.090909091;322.8689655;242.1517241;403.5862069;15;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2014;165;56;1;222;292;207.1;9.5;508.6;0.55;0.7;0.55;0.4125;0.450292398;0.483516484;0.438642298;0.476885645;0.510250569;0.051724138;0.05982906;0.06779661;322.8689655;242.1517241;403.5862069;0;0;0;60;1.7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2015;568;80;0;648;884;304;0;1188;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;322.8689655;242.1517241;403.5862069;20;0;0;34;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2016;288;75;4;367;464;316;30;810;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;322.8689655;242.1517241;403.5862069;0;0;0;139;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2017;310;109;6;425;535;423;48;1006;0.55;0.7;0.55;0.4;0.5;0.6;0.3;0.4;0.6;0.2;0.3;0.5;322.8689655;242.1517241;403.5862069;15;5;0;187;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2018;80;80;0;160;135;340;0;475;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;322.8689655;242.1517241;403.5862069;10;10;0;86;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209772;097.72Z;Aureelva;x;MR;Sykkylven;2019;140;66;1;207;233;270;7.6;510.6;0.55;0.7;0.55;;;;;;;;;;322.8689655;242.1517241;403.5862069;0;0;0;39;0;1;14;0;0;14;18.5;0;0;18.5;0.55;0.7;0.55;;;;;;;;;;105;33;3;141;0.8;0.7;0.9;0.8;0.7;0.9;0.8;0.7;0.9
