Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1993;32;7;6;45;56;39;48;143;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1994;10;4;3;17;18;20;27;65;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1995;42;12;1;55;85;52;8;145;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1996;43;7;1;51;75;24;9;108;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1997;43;7;0;50;84;31;0;115;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1998;51;6;0;57;88;28;0;116;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;1999;27;14;2;43;56;76;19;151;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2000;41;10;2;53;85;44;15;144;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;1.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2001;45;14;5;64;84;67;46;196;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2002;53;27;6;86;121;110;67;298;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;2.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2003;80;12;6;98;153;54;48;255;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;3.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2004;41;26;8;75;94;110;60;264;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2005;154;33;9;196;311;142;76;529;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2006;170;55;8;233;372;221;65;658;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2007;104;22;9;135;185;96;72;353;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2008;426;54;16;496;820;213;142;1175;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2009;371;57;14;442;683.3;274.7;120.2;1078.2;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2010;230;95;4;329;0;0;0;0;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2011;304;76;11;391;543.74;304.4;93.4;941.54;0.4;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;458.9931034;229.4965517;688.4896552;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2012;505;202;13;720;1005.15;796.35;113.1;1914.6;0.4;0.7;0.55;0.6;0.7;0.8;0.4;0.5;0.7;0.3;0.4;0.6;458.9931034;229.4965517;688.4896552;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200241;241.Z;Bergebyelva;x;Finnmark;Nesseby;2013;469;110;5;584;811.5;464.2;40.5;1316.2;0.4;0.7;0.55;0.6;0.7;0.8;0.4;0.5;0.7;0.3;0.4;0.6;458.9931034;229.4965517;688.4896552;0;0;0;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
