Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1993;5;0;0;5;10;0;0;10;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;527.6482759;0;0;0;;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1994;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1995;1;0;0;1;3;0;0;3;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;3.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;6.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1998;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;1999;4;1;0;5;8;4;0;12;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;11.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2000;5;1;1;7;9;4;9;22;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;4.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2001;9;2;2;13;12;12;16;40;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;4.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2002;7;5;2;14;13;20;14;47;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;4.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2003;6;2;1;9;9;7;10;26;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;2.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2004;7;5;0;12;14;21;0;35;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;6.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2005;12;0;0;12;19;0;0;19;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2006;33;3;0;36;54;14;0;68;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;351.7655172;263.8241379;439.7068965;0;0;0;;2.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2007;17;4;2;23;28;20;20;68;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;7.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2008;12;3;10;25;20;19;84;123;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;10.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2009;33;0;3;36;51;0;31;82;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2010;12;3;4;19;25;11;35;71;0.55;0.7;0.55;0.375;0.428571429;0.5;0.038461538;0.047619048;0.0625;0.155844156;0.1875;0.235294118;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2011;18;6;0;24;33.5;25.8;0;59.3;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2012;33;4;2;39;55.6;15.7;18.5;89.8;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2013;27;2;1;30;35.3;8.8;9;53.1;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2014;53;11;1;65;89;39;7;135;0.55;0.7;0.55;0.330218069;0.356768886;0.381294964;0.305555556;0.331103679;0.35483871;0.137931034;0.152542373;0.166666667;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2015;71;22;6;99;142;78;52;272;0.55;0.7;0.55;0.825581395;0.841897233;0.855421687;0.523809524;0.553072626;0.578947368;0.285714286;0.310344828;0.333333333;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2016;47;16;5;68;76.5;70;45;191.5;0.55;0.7;0.55;0.471403813;0.500818331;0.527131783;0.471403813;0.500818331;0.527131783;0.471403813;0.500818331;0.527131783;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2017;36;9;3;48;61;39;27;127;0.55;0.7;0.55;0.347826087;0.375;0.4;0.246575342;0.26910299;0.290322581;0.102564103;0.113924051;0.125;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2018;30;5;0;35;52;22;0;74;0.55;0.7;0.55;0.545454545;0.574468085;0.6;0.137931034;0.152542373;0.166666667;0.137931034;0.152542373;0.166666667;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200210;210.Z;Burfjordelva;Storelva(Burfjorden);Troms;Kv?angen;2019;46;11;2;59;92;55;27;174;0.55;0.7;0.55;;;;;;;;;;351.7655172;263.8241379;439.7068965;0;0;0;;7.56;;0;0;0;0;0;0;0;0;0.55;0.7;0.55;;;;;;;;;;21;8;15;44;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95
