"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1993;112;11;4;127;168;47;33;248;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;406.137931;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1994;103;21;1;125;173;81;9;263;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1995;68;29;4;101;114;135;37;286;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1996;55;41;7;103;83;193;63;339;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1997;117;40;2;159;226;187;15;428;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1998;55;22;5;82;85;104;42;231;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";1999;196;32;3;231;346;137;26;509;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;15.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";2000;158;85;14;257;336;378;107;821;0.2;0.7;0.55;0.35;0.472;0.59;0.4;0.528;0.66;0.4;0.528;0.66;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;37.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";2001;41;37;13;91;81;180;109;370;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;20.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";2002;147;103;26;276;274;499;214;987;0.2;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;58.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";2003;202;45;3;250;336;219;25;580;0.2;0.7;0.55;0.37;0.496;0.62;0.25;0.336;0.42;0.18;0.24;0.3;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200079;"079.Z";"Daleelva_Høyanger";"H?angervassdraget";"SF";"H?anger";2004;139;119;33;291;266;608;263;1137;0.2;0.7;0.55;0.37;0.496;0.62;0.41;0.544;0.68;0.31;0.416;0.52;270.7586207;203.0689655;338.4482759;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
