"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1993;638;298;60;996;1193;1548;438;3179;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;8.93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1994;685;151;77;913;1359;687;737;2783;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1995;710;216;54;980;1279;1079;463;2821;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1996;219;138;87;444;429;647;736;1812;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;11.17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1997;452;199;46;697;890;941;390;2221;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1998;268;439;62;769;516;2018;476;3010;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";1999;644;156;43;843;1152;697;365;2214;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";2000;639;470;31;1140;1177;2185;266;3628;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";2001;395;312;41;748;785;1486;337;2608;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200041;"041.Z";"Etneelva";"S?elva";"Hordaland";"Etne";2002;402;201;77;680;699;985;656;2340;0.2;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1024.772414;768.5793103;1280.965517;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
