Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1993;410;279;0;689;724;1005;0;1729;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1994;1581;477;35;2093;3099;2238;276;5613;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1995;1957;319;14;2290;3405;1421;126;4952;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1996;1959;404;22;2385;3800;1786;181;5767;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1997;1926;374;13;2313;3736;1681;99;5516;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1998;3144;547;38;3729;5370;2574;292;8236;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;1999;2009;405;21;2435;3427;1788;178;5393;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2000;3087;903;71;4061;6184;3810;602;10596;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2001;2553;645;24;3222;5223;2755;198;8176;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2002;722;176;10;908;1255;877;87;2219;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2003;2555;643;37;3235;4900;2905;296;8101;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2004;1842;886;75;2803;3420;4093;604;8117;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;;;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2005;3345;568;14;3927;5962;2387;116;8465;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;10;45;5;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2006;1862;349;9;2220;2963;1391;68;4422;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;11;47;2;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2007;1085;682;52;1819;2078;3130;416;5624;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;5;53;3;;7.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2008;509;309;14;832;947;1286;110;2343;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.4;0.1;0.2;0.3;2245.737931;1871.448276;2620.027586;2;46;2;;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2009;986;449;28;1463;1754;1803;248.4;3805.4;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;2;32;1;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2010;1149;477;36;1662;2050;2031;311.5;4392.5;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.4;0.1;0.2;0.3;2245.737931;1871.448276;2620.027586;4;39;0;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2011;959;1112;38;2109;1798.1;4931.7;320;7049.8;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;3;35;2;;0.5376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2012;1200;903;87;2190;2304.1;3845.6;701.3;6851;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;0;42;0;;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2013;930;428;38;1396;1600.9;1720.7;309;3630.6;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;0;26;8;;7.142857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2014;884;437;13;1334;1575.3;1800.4;108.6;3484.3;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;2245.737931;1871.448276;2620.027586;2;38;0;129;3.9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2015;760;558;29;1347;1399;2344;234;3977;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;2245.737931;1871.448276;2620.027586;3;30;3;193;3.1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2016;641;605;33;1279;1060.3;2450.6;262.1;3773;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;2;11;1;96;5.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2017;687;386;32;1105;1178;1781;266;3225;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;2245.737931;1871.448276;2620.027586;3;21;0;177;0.565;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2018;727;241;18;986;1253;1027;133;2413;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;2245.737931;1871.448276;2620.027586;0;0;0;80;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200028;028.Z;Figgjo;Figgenelva;Rogaland;Klepp;2019;839;613;33;1485;1323.1;2638;273.1;4234.2;0.55;0.7;0.55;;;;;;;;;;2245.737931;1871.448276;2620.027586;0;0;0;170;0.588;1;43;32;1;76;66.5;141.6;10;218.1;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;;;;;;;;;;;;;
