Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1993;12;1;0;13;16;3;0;19;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1994;74;2;0;76;105;9;0;114;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1995;149;10;3;162;197;36;30;263;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;3.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1996;49;2;0;51;72;6;0;78;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1997;20;1;1;22;32;3;9;44;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1998;82;4;0;86;114;15;0;129;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;6.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;1999;142;11;1;154;204;41;9;254;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2000;44;1;0;45;57;4;0;61;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2001;103;3;0;106;162;13;0;175;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2002;78;4;0;82;130;14;0;145;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2003;44;0;0;44;55;0;0;55;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;1.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2004;96;0;0;96;155;0;0;155;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2005;140;2;0;142;235;7;0;242;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;3.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2006;50;3;1;54;78;14;7;99;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2007;157;3;0;160;205;10;0;215;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;75;56.25;93.75;0;0;0;;6.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2008;15;2;0;17;18;7;0;25;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;75;56.25;93.75;0;0;0;;8.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2009;6;0;0;6;7.9;0;0;7.9;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;75;56.25;93.75;0;0;0;;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2010;5;3;0;8;9;11;0;20;0.55;0.7;0.55;;;;;;;;;;75;56.25;93.75;0;0;0;;6.3;;74;6;0;80;117;20;0;137;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2011;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;75;56.25;93.75;0;0;0;;6.3;;;;;;;;;;0.55;0.7;0.55;;;;;;;;;;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2012;9;0;0;9;14;0;0;14;0.55;0.7;0.55;;;;;;;;;;75;56.25;93.75;0;0;0;;6.3;;46;1;0;47;77;4;0;81;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2013;9;1;0;10;12;4;0;16;0.55;0.7;0.55;;;;;;;;;;75;56.25;93.75;0;0;0;;6.3;;70;12;1;83;92;41;7;140;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;;;;;;;;;;;;;
201657;165.7Z;Fjærevassdraget;ElvfraFjærvatnet;Nordland;Bodø;2014;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.25;0.5;0.1;0.15;0.3;75;56.25;93.75;0;0;0;;6.3;;;;;;;;;;0.55;0.7;0.55;;;;;;;;;;;;;;;;;;;;;;
