Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1993;28;0;1;29;41;0;8;49;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;485.337931;0;0;0;NA;13.2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1994;78;1;0;79;107;4;0;111;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;13.2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1995;146;1;0;147;208;5;0;213;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;13.2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1996;92;12;0;104;142;46;0;188;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;12;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1997;111;5;3;119;195;20;25;240;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;15;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1998;147;14;2;163;229;61;16;306;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;9;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;1999;201;29;2;232;340;130;16;486;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;18;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2000;290;46;4;340;520;186;32;738;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;12;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2001;138;67;2;207;258;305;15;578;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;0.61;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2002;88;53;9;150;154;236;78;468;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;2.84;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2003;123;19;0;142;198;86;0;284;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;0.48;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2004;76;11;1;88;135;53;9;197;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;2.44;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2005;276;23;0;299;462;100;0;562;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2006;92;22;5;119;150;92;40;282;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;0.65;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2007;97;19;2;118;144;83;19;246;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;6.07;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2008;97;24;0;121;155;98;0;253;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;1.6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2009;60;27;2;89;135.6;122;19;276.6;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;6.07;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200172;172.Z;Forsåvassdraget;Forselva;Nordland;Ballangen;2010;78;29;0;107;140.6;119.9;0;260.5;0.55;0.7;0.55;0.23;0.33;0.43;0.1;0.18;0.28;0.08;0.13;0.18;323.5586207;225.0724138;422.0448276;0;0;0;NA;6.07;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
