Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1993;269;61;0;330;454;248;0;702;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1994;394;48;0;442;625;183;0;808;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;15;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1995;428;26;1;455;692;100;7;799;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1996;377;19;0;396;563;80;0;643;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;12;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;8;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1998;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;1999;259;25;0;284;400;92;0;492;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2000;297;57;0;354;518;201;0;719;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2001;342;61;1;404;523;226;11;760;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;9;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2002;107;25;1;133;165;85;10;260;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2003;168;8;0;176;231;31;0;262;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2004;204;15;0;219;301;53;0;354;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2005;393;60;0;453;612;225;0;837;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2006;213;32;0;245;319;114;0;433;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2007;222;28;1;251;333;97;10;440;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2008;211;41;0;252;328;148;0;476;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2009;145;21;0;166;234.4;68.7;0;303.1;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;1;1;0;2;2;4;0;6;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2010;273;48;0;321;489.8;176;0;665.8;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2011;178;37;0;215;290.7;135.3;0;426;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;2;0;0;2;5;0;0;5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2012;310;41;0;351;505.65;139;0;644.65;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;2;0;0;2;3;0;0;3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2013;290;29;0;319;422;102.8;0;524.8;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;12;4;0;16;18;16;0;34;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2014;86;22;0;108;144.3;80.1;0;224.4;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2015;152;19;0;171;234;69;0;303;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;3;1;0;4;6;3;0;9;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2016;311;57;0;368;481.95;212.62;0;694.57;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;5;0;0;5;6;0;0;6;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2017;293;93;1;387;493;347;8;848;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;8;3;0;11;15;10;0;25;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2018;247;100;0;347;409;358;0;767;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;10;1;0;11;15;3;0;18;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2019;143;26;0;169;230.9;90.7;0;321.6;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;4;0;0;4;4.6;0;0;4.6;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2020;317;52;1;370;500.4;183.4;7.3;691.1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;1;0;0;1;1.3;0;0;1.3;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2021;185;37;0;222;283.1;122.1;0;405.2;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;4;0;0;4;7.5;0;0;7.5;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201786;178.6Z;Gårdselvvassdraget;Gårdselva;Nordland;Andøy;2022;183;41;0;224;290.5;149.9;0;440.4;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;292.3310345;219.2482759;372.2;0;0;0;NA;5.67;NA;5;1;0;6;7.1;3.8;0;10.9;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
