Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1993;2;17;6;25;5;87;47;139;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;6.3;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1994;28;57;14;99;63;288;112;463;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;4.56;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1995;20;11;2;33;39;61;17;117;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.34;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1996;10;29;4;43;23;154;34;211;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;6.3;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1997;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;8.58;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1998;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;12.84;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;1999;13;23;8;44;32;107;62;201;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.16;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2000;7;50;15;72;13;229;133;375;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;6.12;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2001;8;42;23;73;18;235;185;438;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;7.08;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2002;18;27;14;59;44;106;106;256;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;9.12;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2003;17;18;9;44;42;89;73;204;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;6.06;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2004;15;27;9;51;38;120;70;228;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;4.2;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2005;15;27;9;51;36;120;70;226;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;4.02;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2006;2;0;0;2;6;0;0;6;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;4.98;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2007;26;12;4;42;50;49;33;132;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;8.04;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2008;5;8;0;13;12;42;0;54;0.4;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.22;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2009;16;25;1;42;32.8;101.5;7.9;142.2;0.4;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2010;35;35;12;82;78.5;171.8;95;345.3;0.4;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2011;31;38;3;72;52;159;24.5;235.5;0.4;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2012;17;44;3;64;36.5;186.5;22.5;245.5;0.4;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2013;15;25;1;41;31;112.5;7.5;151;0.4;0.7;0.55;0.307692308;0.333333333;0.357142857;0.327868852;0.354330709;0.378787879;0.102564103;0.113924051;0.125;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2014;3;12;0;15;6;48.5;0;54.5;0.4;0.7;0.55;0.043062201;0.049881235;0.056603774;0.285714286;0.318181818;0.347826087;0.285714286;0.318181818;0.347826087;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2015;17;15;0;32;32;48;0;80;0.4;0.7;0.55;0.195402299;0.253731343;0.279835391;0.172413793;0.225806452;0.25;0.172413793;0.225806452;0.25;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2016;37;6;0;43;100;30;0;130;0.4;0.7;0.55;0.25;0.35;0.45;0.2;0.3;0.5;0.1;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2017;44;22;2;68;84;94;16;194;0.4;0.7;0.55;0.25;0.35;0.45;0.2;0.3;0.5;0.1;0.2;0.3;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2018;10;10;0;20;16;44;0;60;0.4;0.7;0.55;0.05;0.18;0.25;0.05;0.13;0.2;0.04;0.1;0.18;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2019;11;10;1;22;19.8;52.1;7.8;79.7;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.25;0.35;0.45;0.2;0.3;0.5;0.1;0.2;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2020;10;17;1;28;19.8;65.7;10.9;96.4;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;1;0;0;1;2;0;0;2;0.4;0.7;0.55;0.25;0.35;0.45;0.2;0.3;0.5;0.1;0.2;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2021;5;6;1;12;7.3;24.4;9.5;41.2;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.05;0.18;0.25;0.05;0.13;0.2;0.04;0.1;0.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2022;8;12;1;21;17;56.7;7.3;81;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelandsåna;Rogaland;Hjelmeland;2023;12;6;0;18;18;26.7;0;44.7;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200352;035.2Z;Hjelmelandselva;Hjelmelands?a;Rogaland;Hjelmeland;2024;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.85517241;72.64137931;121.0689655;0;0;0;NA;5.4;NA;0;0;0;0;0;0;0;0;0.4;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0
