Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1993;317;51;16;384;607;202;205;1014;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;5.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1994;281;70;26;377;549;362;238;1149;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1995;148;47;0;195;296;206;0;502;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;4.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1996;175;11;0;186;350;50;0;400;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;5.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1997;9;0;0;9;17;0;0;17;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;7.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1998;1611;60;2;1673;2423;249;20;2692;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;10.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;1999;326;21;1;348;532;89;10;631;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2000;949;57;1;1007;1654;229;7;1890;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2001;643;35;4;682;1151;150;33;1334;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2002;126;4;0;130;205;13;0;218;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2003;267;11;0;278;410;46;0;456;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;5.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2004;42;1;1;44;68;4;7;79;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2005;49;3;0;52;88;14;0;102;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;3.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2006;47;1;0;48;79;3;0;82;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2007;37;2;0;39;68;10;0;79;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201076;107.6Z;Hustadelva;Haustaselva;MR;Fr?a;2008;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;444.3931034;333;589;0;0;0;;4.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
