Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1993;95;3;0;98;119;14;0;133;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1994;79;7;0;86;118;31;0;149;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1995;28;8;0;36;42;38;0;80;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;3.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1996;32;1;0;33;47;3;0;50;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1997;81;3;0;84;106;12;0;118;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;10.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1998;29;0;0;29;44;0;0;44;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;1999;49;5;0;54;72;21;0;93;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;1.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2000;86;5;0;91;144;20;0;164;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2001;92;23;0;115;120;92;0;212;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2002;32;16;1;49;51;57;8;116;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;5.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2003;128;40;1;169;228;197;9;434;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;2.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2004;53;25;2;80;114;98;17;229;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;2.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2005;138;20;0;158;241;78;0;319;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;4.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2006;8;2;0;10;17;8;0;25;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;5.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2007;37;2;0;39;40;10;0;50;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;306;153;460;0;0;0;;2.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2008;48;11;0;59;98;52;0;150;0.55;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;306;153;460;0;0;0;;2.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2009;33;10;0;43;35;40;0;75;0.55;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;306;153;460;0;0;0;;2.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2010;58;0;0;58;72;0;0;72;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;306;153;460;0;0;0;;2.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2011;37;0;0;37;70;0;0;70;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;306;153;460;0;0;0;;2.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201423;142.3Z;KongsmoelvaAlene;x;Nord-Tr?delag;H?landet;2012;51;6;0;57;76;22;0;98;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;306;153;460;0;0;0;;2.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
