Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1993;30;35;7;72;45;175;53;273;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;134.1666667;187.8333333;;;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1994;266;41;61;368;390;194;510;1094;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;6.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1995;113;71;14;198;205;309;107;621;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;7.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1996;66;24;58;148;101;116;503;720;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1997;77;64;4;145;117;284;34;435;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;11.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1998;132;48;5;185;192;204;45;441;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;17.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;1999;375;56;10;441;567;245;88;900;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;6.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;2000;222;63;9;294;450;268;71;789;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;8.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;2001;248;78;15;341;462;369;123;955;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;9.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200986;098.6Z;Korsbrekkelva;Bygdaelva;MR;Stranda;2002;316;224;50;590;525;1116;403;2044;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;161;120.1724138;168.2413794;;;;;12.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
