Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1993;4;0;0;4;8;0;0;8;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1994;4;0;0;4;5;0;0;5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1995;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1996;2;0;0;2;3;0;0;3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1997;11;2;0;13;21;7;0;28;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1998;10;1;0;11;16;5;0;21;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;1999;16;2;0;18;25;8;0;33;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;2000;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;2001;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;213.6Z;Kvalsundelva;x;Finnmark;Hammerfest;2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.3103448;50.65517241;151.9655172;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
