Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1993;15;0;0;15;30;0;0;30;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.71;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1994;31;6;0;37;62;24;0;86;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.17;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1995;4;0;0;4;7;0;0;7;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.92;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1996;7;0;0;7;11;0;0;11;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;1.96;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1997;19;2;0;21;27;9;0;36;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;1.6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1998;72;1;0;73;86;3;0;89;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.89;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;1999;36;0;0;36;43;0;0;43;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;1.27;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2000;35;2;0;37;59;6;0;65;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;1.81;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2001;53;0;0;53;86;0;0;86;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.52;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.54;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2003;36;0;0;36;49;0;0;49;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.23;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2004;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.8;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2005;80;1;0;81;117;5;0;122;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.21;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2006;56;0;0;56;80;0;0;80;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.88;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2007;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.83;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2008;28;0;0;28;42;0;0;42;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;1.36;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2009;27;4;0;31;40.8;17.3;0;58.1;0.55;0.7;0.55;0.25;0.3;0.35;0.1;0.2;0.3;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2010;28;2;0;30;45.4;6.1;0;51.5;0.55;0.7;0.55;0.05;0.06;0.071942446;0.05;0.06;0.071942446;0.05;0.06;0.071942446;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2011;38;7;0;45;57.5;24.4;0;81.9;0.55;0.7;0.55;0.145038168;0.161258113;0.184466019;0.041257367;0.04650254;0.054263566;0.041257367;0.04650254;0.054263566;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2012;36;3;0;39;56.5;9.7;0;66.2;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;8;0;0;8;16;0;0;16;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2013;71;3;0;74;80.4;12.1;0;92.5;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.2;0.3;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;3;0;0;3;3;0;0;3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2014;50;9;0;59;61.6;32.2;0;93.8;0.55;0.7;0.55;0.121555916;0.135566188;0.15576324;0.056367432;0.063406548;0.073770492;0.056367432;0.063406548;0.073770492;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2015;19;1;0;20;26;5;0;31;0.55;0.7;0.55;0.12;0.15;0.2;0.05;0.07;0.1;0.05;0.07;0.1;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2016;44;4;0;48;56.8;14.8;0;71.6;0.55;0.7;0.55;0.12;0.15;0.2;0.05;0.07;0.1;0.05;0.07;0.1;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;2;0;0;2;3;0;0;3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2017;48;4;0;52;70;16;0;86;0.55;0.7;0.55;0.12;0.15;0.2;0.05;0.07;0.1;0.05;0.07;0.1;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;14;3;0;17;22;9;0;31;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2018;53;3;0;56;79;13;0;92;0.55;0.7;0.55;0.12;0.15;0.2;0.05;0.07;0.1;0.05;0.07;0.1;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;3;0;0;3;3;0;0;3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2019;58;3;0;61;87.1;11.3;0;98.4;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.12;0.15;0.2;0.05;0.07;0.1;0.05;0.07;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2020;56;9;0;65;91.4;39.9;0;131.3;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;117;36;0;153;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2021;5;0;0;5;5;0;0;5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;16;1;123;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2022;4;0;0;4;6;0;0;6;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;4;0;0;4;6;0;0;6;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;137;18;1;156;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimselva;Rogaland;Hå;2023;21;5;0;26;29;18;0;47;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;1;1;0;2;1.8;3.4;0;5.2;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;29;1;87;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1;0;1
200281;028.1Z;Kvassheimsåna;Kvassheimsåna;Rogaland;Hå;2024;6;0;0;6;9;0;0;9;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.62068966;55.51724138;77.72413793;0;0;0;NA;0.53;NA;1;0;0;1;1;0;0;1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;114;7;0;121;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1;0;1
