Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1993;483;233;268;984;929;1221;2398;4548;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;150;189;339;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1994;483;215;199;897;996;1114;1755;3865;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;250;259;509;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1995;269;243;247;759;548;1342;2215;4105;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1996;24;117;202;343;41;645;1792;2478;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1997;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1998;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;1999;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;2000;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;10;10;30;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;2001;4;101;8;113;9;572;65;646;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;10;11;31;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
9999;073.Z;Lærdalselvi;x;SF;Lærdal;2002;16;38;55;109;36;202;465;703;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;5017;3762;6271;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;9;10;29;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
