"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1993;430;51;15;496;758;219;135;1112;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1582.5;0;0;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1994;419;66;10;495;746;305;83;1134;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;3.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1995;524;73;17;614;901;350;149;1400;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1996;874;58;12;944;1473;253;105;1831;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1997;820;166;10;996;1379;679;79;2137;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1998;409;148;5;562;689;631;40;1360;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;10.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";1999;534;148;18;700;970;663;153;1786;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";2000;499;215;16;730;899;1007;136;2042;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";2001;382;76;17;475;653;381;138;1172;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200194;"194.Z";"Laukhellevassdraget";"LakselvafraTrollbuvatnet";"Troms";"Lenvik";2002;204;89;3;296;341;401;22;765;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;1055;791.25;1318.75;0;0;0;NA;8.63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
