Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1993;13;16;0;29;28;81;0;109;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1994;16;8;1;25;28;29;8;65;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1995;17;52;1;70;26;205;7;238;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1996;20;19;4;43;37;70;33;140;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1997;15;6;3;24;26;32;34;92;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1998;10;2;0;12;15;9;0;24;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;1999;9;8;0;17;18;33;0;51;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;2000;13;1;14;28;21;6;116;143;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;2001;115;39;2;156;188;170;16;374;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201266;153.22Z;Leirelvvassdraget;Leirelva;Nordland;Leirfjord;2002;102;41;7;150;172;188;53;413;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;128;256;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
