Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1993;112;23;4;139;156;119;30;305;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;5.13;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1994;57;8;0;65;86;36;0;122;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;2.84;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1995;113;0;0;113;176;0;0;176;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;0.41;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1996;120;19;0;139;183;72;0;255;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1997;34;15;1;50;51;60;9;120;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;5.28;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1998;75;10;0;85;113;50;0;163;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;13;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;1999;265;17;1;283;382;73;8;463;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;10;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;2000;196;18;2;216;344;69;16;429;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;8;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;2001;277;38;1;316;484;177;10;671;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;3;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200604;060.4Z;Loneelva;Loneelvi;Vestland;Osterøy;2002;154;18;2;174;239;84;17;340;0.55;0.7;0.55;0.5;0.7;0.8;0.3;0.5;0.7;0.2;0.4;0.6;152.7310345;127.2758621;178.1862069;NA;NA;NA;NA;5.13;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
