Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1993;865;176;148;1189;2090;1000;1706;4796;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5361.924138;3274.858621;8042.886207;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1994;601;125;142;868;1142;625;1276;3043;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5361.924138;3274.858621;7448.989655;0;0;0;NA;1.5;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1995;309;94;149;552;527;497;1428;2452;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5361.924138;3274.858621;7448.989655;0;0;0;NA;1;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1996;832;132;120;1084;1650;648;1077;3375;0.1;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5361.924138;3274.858621;7448.989655;0;0;0;NA;1;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1997;633;197;105;935;1194;968;932;3094;0.1;0.7;0.55;0.32;0.37;0.42;0.32;0.37;0.42;0.32;0.37;0.42;5361.924138;3274.858621;7448.989655;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1998;1210;260;144;1614;2312;1212;1287;4811;0.1;0.7;0.55;0.35;0.4;0.45;0.35;0.4;0.45;0.35;0.4;0.45;5361.924138;3274.858621;7448.989655;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;1999;1080;405;153;1638;2372;1717;1335;5424;0.1;0.7;0.55;0.34;0.39;0.44;0.34;0.39;0.44;0.34;0.39;0.44;5361.924138;3274.858621;7448.989655;0;0;0;NA;3;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;2000;2239;954;403;3596;4996;4799;3530;13325;0.1;0.7;0.55;0.47;0.53;0.57;0.47;0.53;0.57;0.47;0.53;0.57;5361.924138;3274.858621;7448.989655;0;0;0;NA;4;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;2001;1471;959;584;3014;2906;4841;5006;12753;0.1;0.7;0.55;0.4;0.45;0.5;0.4;0.45;0.5;0.4;0.45;0.5;5361.924138;3274.858621;7448.989655;0;0;0;NA;2;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200196;196.Z;Målselvvassdraget;Målselva;Troms;Målselv;2002;908;566;528;2002;1837;2955;4772;9564;0.1;0.7;0.55;0.38;0.43;0.48;0.38;0.43;0.48;0.38;0.43;0.48;5361.924138;3274.858621;7448.989655;0;0;0;NA;2.45;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
