Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201031;103.1Z;Måna;x;MR;Rauma;1993;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1994;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1995;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1998;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;1999;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;2000;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;2001;100;96;11;207;174;452;86;713;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
201031;103.1Z;Måna;x;MR;Rauma;2002;102;110;63;275;145;586;486;1217;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
201031;103.1Z;Måna;x;MR;Rauma;2003;250;235;0;485;375;940;0;1315;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
201031;103.1Z;Måna;x;MR;Rauma;2004;107;68;6;181;179;296;54;529;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
201031;103.1Z;Måna;x;MR;Rauma;2005;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201031;103.1Z;Måna;x;MR;Rauma;2006;57;64;0;121;91;319;0;410;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
201031;103.1Z;Måna;x;MR;Rauma;2007;59;49;0;108;81;266;0;347;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;363.1448276;272.3586207;453.9310345;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
