Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1993;185;43;5;233;391;207;43;641;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;7732.77931;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1994;1198;64;14;1276;2387;309;112;2808;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1995;101;12;0;113;172;52;0;224;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1996;555;38;8;601;1050;133;64;1247;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1997;420;46;10;476;665;185;81;931;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;1.624;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1998;1096;124;27;1247;1754;494;222;2470;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;4.761904762;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;1999;1033;87;14;1134;1815;363;104;2282;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;13.84615385;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2000;2081;197;16;2294;3612;953;137;4702;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;3;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2001;3979;745;18;4742;7454;2828;138;10420;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0.697674419;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2002;2355;698;60;3113;4157;3008;474;7639;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;1.6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2003;2509;746;51;3306;4460;3199;419;8078;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0.344827586;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2004;2207;512;59;2778;3702;2250;492;6444;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2005;4379;707;67;5153;7380;2920;558;10858;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;1.336898396;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2006;3881;1295;68;5244;5920;5464;576;11960;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;1.315789474;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2007;1123;991;70;2184;1900;4193;596;6690;0.55;0.7;0.55;0.4;0.55;0.65;0.4;0.45;0.55;0.3;0.4;0.55;5155;3866.389655;6443.610345;0;0;0;NA;2.06185567;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2008;1657;1062;73;2792;2987;4231;596;7814;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;5155;3866.389655;6443.610345;0;28;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2009;1259;663;78;2000;2318.2;2653.9;650.3;5622.4;0.55;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;5155;3866.389655;6443.610345;0;41;0;NA;0;NA;13;9;1;23;23;41;8;72;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2010;1581;491;35;2107;2633;1936.6;283;4852.6;0.55;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;5155;3866.389655;6443.610345;0;41;0;NA;4;NA;548;32;3;583;729;119;22;870;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200022;022.Z;Mandalselva;x;Vest-Agder;Mandal;2011;841;1270;48;2159;1571.332;5386.73;380.35;7338.412;0.55;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;5155;3866.389655;6443.610345;0;41;0;NA;4;NA;248;80;4;332;405;317;33;755;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
