Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1993;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1994;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1995;7;8;0;15;11;35;0;46;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1996;9;2;1;12;19;7;12;38;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1997;15;11;5;31;32;47;55;134;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1998;5;8;1;14;11;37;9;57;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;1999;6;14;2;22;12;59;21;92;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2000;15;5;0;20;29;26;0;55;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2001;3;7;2;12;6;26;16;48;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2002;8;8;4;20;13;37;33;83;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2003;5;4;1;10;10;16;7;33;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2004;3;8;1;12;4;32;7;43;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;7;0;11;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2005;9;1;2;12;17;5;14;36;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;4;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2006;17;7;0;24;25;36;0;61;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;10;6;20;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2007;4;1;3;8;7;4;24;35;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;9;3;12;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2008;3;19;1;23;6;93;7;106;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;22;4;38;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2009;4;8;2;14;6;35;17;58;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;17;3;28;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2010;2;3;4;9;3;16;30;49;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;1;0;1;0;4;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;25;3;35;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2011;0;2;0;2;0;9;0;9;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;38;3;60;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2012;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;7;4;20;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
999;064.Z;Modalselva;Steinslandsvassdraget;Vestland;Modalen;2013;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;597.5310345;448.1482759;896.2965517;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;11;0;23;0.8;0.7;0.9;0.9;0.7;1;0.9;0.7;1;1;1
