Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1993;84;69;69;222;188;288;601;1077;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;769.0551724;NA;NA;NA;NA;1.52;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1994;146;58;56;260;310;264;467;1041;0.1;0.7;0.55;0.49;0.73;0.97;0.43;0.58;0.73;0.43;0.58;0.73;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;1.78;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1995;62;77;68;207;142;364;601;1107;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;2.1;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1996;51;30;26;107;100;129;220;449;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;2.86;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1997;73;50;17;140;128;210;161;499;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;4.28;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1998;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;1.72;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;1999;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;2.04;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;2000;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;2.36;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;2001;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;3.04;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200071;071.Z;Nærøydalselvi;Nærøyelvi;Vestland;Aurland;2002;0;4;15;19;0;17;127;144;0.1;0.7;0.55;0.01;0.02;0.03;0.12;0.16;0.2;0.12;0.16;0.2;512.7034483;384.5275862;640.8793104;NA;NA;NA;NA;2.02;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
