"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1993;4014;1720;1425;7159;7365;8603;14105;30073;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1994;3174;1215;793;5182;5655;5443;7717;18815;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1995;6216;1566;935;8717;8872;7823;8713;25408;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1996;2530;1283;1341;5154;3898;6402;13039;23339;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1997;4213;1136;637;5986;7682;5184;5878;18744;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1998;3800;2293;587;6680;5948;12139;4965;23052;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";1999;4420;1278;599;6297;8023;5765;5746;19534;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2000;6790;3410;1029;11229;11284;16568;9376;37228;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2001;4648;2990;1384;9022;9272;15029;12531;36830;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2002;3194;1583;725;5502;5234;8275;6695;20203;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2003;5734;2237;955;8926;10108;10250;9539;29895;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;1.93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2004;2817;1930;807;5554;4469;10024;7243;21738;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2005;7899;1775;1041;10715;12950;8501;10449;31900;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2006;3025;1891;589;5505;4522;9176;5520;19218;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;2.61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2007;3224;895;791;4910;4246;4220;7660;16126;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;1.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2008;3055;2336;1160;6551;4367;9901;10596;24864;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;6.73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200139;"139.Z";"Namsen";"x";"Nord-Tr?delag";"Namsos";2009;1468;1063;1327;3858;2166;4599;12129;18894;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;18654.17931;11160.82069;26147.53793;0;0;0;NA;4.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
