Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200847;084.7Z;Nausta;x;SF;Naustdal;1993;764;119;21;904;1175;518;176;1869;0.5;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;2171;1628.25;2713.75;NA;NA;NA;NA;2.78;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1994;1079;114;10;1203;1939;550;78;2567;0.5;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;2171;1628.25;2713.75;NA;NA;NA;NA;2.78;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1995;745;233;20;998;1230;1138;163;2531;0.5;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;2171;1628.25;2713.75;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1996;471;112;11;594;787;525;86;1398;0.5;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;2171;1628.25;2713.75;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1997;1200;145;19;1364;1949;637;150;2736;0.5;0.7;0.55;0.6;0.65;0.8;0.4;0.5;0.7;0.3;0.4;0.55;2171;1628.25;2713.75;NA;NA;NA;NA;2;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1998;603;411;8;1022;1072;1736;64;2872;0.5;0.7;0.55;0.647651007;0.697651007;0.747651007;0.447651007;0.497651007;0.547651007;0.347651007;0.397651007;0.447651007;2171;1628.25;2713.75;NA;NA;NA;NA;7;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;1999;1574;203;26;1803;2624;905;209;3738;0.5;0.7;0.55;0.364782277;0.393464148;0.443701077;0.360856269;0.39244186;0.447089947;0.666666667;0.700854701;0.75177305;2171;1628.25;2713.75;NA;NA;NA;NA;2;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;2000;2394;693;17;3104;4199;2967;124;7290;0.5;0.7;0.55;0.461029312;0.48033342;0.515070491;0.547325103;0.5703125;0.609929078;0.117241379;0.137466307;0.175257732;2171;1628.25;2713.75;NA;NA;NA;NA;1;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;2001;1121;737;19;1877;1918;3214;147;5279;0.5;0.7;0.55;0.539493616;0.574340408;0.604284439;0.539493616;0.574340408;0.604284439;0.539493616;0.574340408;0.604284439;2171;1628.25;2713.75;NA;NA;NA;NA;1;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200847;084.7Z;Nausta;x;SF;Naustdal;2002;640;354;24;1018;1186;1528;196;2910;0.5;0.7;0.55;0.32391622;0.357079994;0.387142353;0.32391622;0.357079994;0.387142353;0.32391622;0.357079994;0.387142353;2171;1628.25;2713.75;NA;NA;NA;NA;7;NA;0;0;0;0;0;0;0;0;0.5;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
