Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1993;47;25;3;75;80;117;42;239;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;;9.541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1994;132;80;4;216;268;317;38;623;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;;9.541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1995;106;16;3;125;223;70;27;320;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;;9.541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1996;146;26;4;176;280;97;32;409;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;24;29.16666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1997;53;14;0;67;104;64;0;168;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;;10.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1998;130;53;10;193;220;244;80;544;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;54;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;1999;180;27;2;209;278;116;16;410;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;39;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2000;171;47;1;219;332;195;8;535;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;62;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2001;224;51;2;277;410;214;19;643;0.55;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;1573.931034;851.7931034;2360.896552;;;;123;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2002;242;33;3;278;399;162;24;585;0.55;0.7;0.55;0.320276498;0.359358842;0.402315485;0.320276498;0.359358842;0.402315485;0.320276498;0.359358842;0.402315485;1573.931034;851.7931034;2360.896552;;;;65;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2003;339;31;2;372;558;122;21;701;0.55;0.7;0.55;0.365524986;0.406824147;0.451456311;0.365524986;0.406824147;0.451456311;0.365524986;0.406824147;0.451456311;1573.931034;851.7931034;2360.896552;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2004;156;63;6;225;268;267;50;585;0.55;0.7;0.55;0.257031377;0.291289739;0.329912023;0.257031377;0.291289739;0.329912023;0.257031377;0.291289739;0.329912023;1573.931034;851.7931034;2360.896552;;;;49;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2005;226;7;1;234;356;27;7;390;0.55;0.7;0.55;0.350234342;0.390406396;0.434137291;0.350234342;0.390406396;0.434137291;0.350234342;0.390406396;0.434137291;1573.931034;851.7931034;2360.896552;0;0;0;77;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2006;497;58;2;557;758;255;15;1028;0.55;0.7;0.55;0.2006003;0.22739726;0.258468677;0.2006003;0.22739726;0.258468677;0.2006003;0.22739726;0.258468677;1573.931034;851.7931034;2360.896552;0;0;0;233;10.72961373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2007;165;89;7;261;260;399;54;713;0.55;0.7;0.55;0.265939597;0.296875;0.332061069;0.265939597;0.296875;0.332061069;0.265939597;0.296875;0.332061069;1573.931034;851.7931034;2360.896552;0;0;0;113;23.00884956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2008;163;108;14;285;263;452;116;831;0.55;0.7;0.55;0.244105409;0.271714922;0.303514377;0.244105409;0.271714922;0.303514377;0.244105409;0.271714922;0.303514377;1573.931034;851.7931034;2360.896552;0;0;0;164;12.19512195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2009;205;57;10;272;325.6;241.3;85.6;652.5;0.55;0.7;0.55;0.26377047;0.296400086;0.333333333;0.26377047;0.296400086;0.333333333;0.26377047;0.296400086;0.333333333;1573.931034;851.7931034;2360.896552;0;0;0;121;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2010;129;47;1;177;214.3;201.5;8.2;424;0.55;0.7;0.55;0.113754248;0.130955861;0.151541096;0.113754248;0.130955861;0.151541096;0.113754248;0.130955861;0.151541096;1573.931034;851.7931034;2360.896552;0;0;0;;23.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2011;43;47;5;95;71.74;214;38.7;324.44;0.55;0.7;0.55;0.04548699;0.052292494;0.060664112;0.04548699;0.052292494;0.060664112;0.04548699;0.052292494;0.060664112;1573.931034;851.7931034;2360.896552;0;0;0;;14.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2012;85;32;5;122;133.53;140.44;38.7;312.67;0.55;0.7;0.55;0.168612137;0.19016883;0.215592044;0.057232958;0.065674913;0.076017104;0.01844203;0.021291479;0.02483011;1573.931034;851.7931034;2360.896552;0;0;0;;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2013;91;18;1;110;131.615;86.19;8.4;226.205;0.55;0.7;0.55;0.105439486;0.117930444;0.130077377;0.105439486;0.117930444;0.130077377;0.105439486;0.117930444;0.130077377;1573.931034;851.7931034;2360.896552;0;0;0;;3.669724771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2014;132;51;4;187;225.42;218.86;30.7;474.98;0.55;0.7;0.55;0.094060186;0.105962839;0.117556783;0.094060186;0.105962839;0.117556783;0.094060186;0.105962839;0.117556783;1573.931034;851.7931034;2360.896552;0;15;0;212;8.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2015;93;33;2;128;153;143;16;312;0.55;0.7;0.55;0.068479355;0.077460106;0.086269345;0.068479355;0.077460106;0.086269345;0.068479355;0.077460106;0.086269345;1573.931034;851.7931034;2360.896552;0;0;0;86;2.3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2016;60;26;2;88;92.7;119.19;16.4;228.29;0.55;0.7;0.55;0.053398058;0.06015386;0.066813915;0.053398058;0.06015386;0.066813915;0.053398058;0.06015386;0.066813915;1573.931034;851.7931034;2360.896552;0;0;0;93;1.1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2017;102;33;3;138;180;143;25;348;0.55;0.7;0.55;0.09573316;0.107715324;0.119384096;0.09573316;0.107715324;0.119384096;0.09573316;0.107715324;0.119384096;1573.931034;851.7931034;2360.896552;0;0;0;112;3.71;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2018;135;54;9;198;242;247;72;561;0.55;0.7;0.55;0.09;0.12;0.15;0.09;0.12;0.15;0.09;0.12;0.15;1573.931034;851.7931034;2360.896552;0;0;0;160;1.87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200019;019.Z;Nidelva_i_Arendal;Arendalsvassdraget;Aust-Agder;Arendal;2019;305;58;5;368;416.3;276;44;736.3;0.55;0.7;0.55;;;;;;;;;;1573.931034;851.7931034;2360.896552;0;0;0;243;0.823;1;29;3;0;32;32.9;13.2;0;46.1;0.55;0.7;0.55;0.15;0.2;0.25;0.1;0.15;0.2;0.05;0.1;0.15;;;;;;;;;;;;;
