Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1993;450;25;7;482;675;125;56;856;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;11.35;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1994;1091;51;1;1143;1706;205;9;1920;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;6.7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1995;310;48;5;363;458;198;38;694;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;6.57;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1996;108;2;3;113;186;10;24;220;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;6.57;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;6.57;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1998;1006;41;0;1047;1328;242;0;1570;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;1999;134;10;1;145;215;45;9;269;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2000;339;73;4;416;644;329;35;1008;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;5.89;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2001;324;35;0;359;644;176;0;820;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;5.89;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2002;30;1;0;31;65;5;0;70;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;4.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2003;381;38;4;423;826;190;32;1048;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;4.16;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2004;68;3;0;71;100;10;0;110;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;3.65;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2005;126;12;3;141;256;55;24;335;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;3.22;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2006;126;8;1;135;164;36;8;208;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;2.79;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2007;65;5;1;71;100;20;7;127;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;2.71;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2008;188;36;5;229;452;180;42;674;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;2.03;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2009;277;11;3;291;410;42;24;476;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;575.0896552;431.3172414;718.862069;0;0;0;NA;2.33;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2010;152;19;2;173;299.4;78;14.4;391.8;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;NA;2.33;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2011;124;81;7;212;243.6;339.6;56;639.2;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;NA;17.14;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2012;201;32;13;246;329;128;98;555;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;575.0896552;431.3172414;718.862069;0;0;0;NA;6.493506494;NA;50;0;0;50;64;0;0;64;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2013;240;15;4;259;312;90;30;432;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;575.0896552;431.3172414;718.862069;0;0;0;NA;7.692307692;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2014;86;4;3;93;134;16;21;171;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;NA;7.692307692;NA;10;1;0;11;14;4;0;18;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2015;197;57;7;261;276;285;50;611;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;NA;7.692307692;NA;23;7;0;30;31;34;0;65;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2016;95;23;11;129;137;110;87;334;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;60;0;1;35;6;2;43;57;27;15;99;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2017;126;80;3;209;252;320;24;596;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;NA;0;NA;15;12;4;31;30;48;32;110;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2018;85;60;8;153;141;249;65;455;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;575.0896552;431.3172414;718.862069;0;0;0;31;6.452;1;15;6;3;24;24;22;25;71;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2019;85;43;6;134;123;189;49;361;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;575.0896552;431.3172414;718.862069;0;0;0;NA;6.452;NA;11;5;3;19;16;25;23;64;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2020;124;31;1;156;210.7;124.8;10.5;346;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;575.0896552;431.3172414;718.862069;0;0;0;62;3.2;1;25;4;0;29;34.1;13.5;0;47.6;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2021;75;39;0;114;122.7;152.3;0;275;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;575.0896552;431.3172414;718.862069;0;0;0;NA;3.2;NA;19;1;0;20;27.1;3;0;30.1;0.55;0.7;0.55;0.05;0.18;0.25;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2022;89;46;2;137;164.9;197.6;15;377.5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;575.0896552;431.3172414;718.862069;0;0;0;NA;3.2;NA;29;1;0;30;36;3.6;0;39.6;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201333;133.3Z;Nordelva;x;Trøndelag;Ørland;2023;25;4;0;29;34.4;16.4;0;50.8;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;575.0896552;431.3172414;718.862069;0;0;0;NA;3.2;NA;16;2;0;18;21;12.7;0;33.7;0.55;0.7;0.55;0.05;0.18;0.25;0.05;0.13;0.2;0.04;0.1;0.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
