Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1993;41;7;0;48;60;31;0;91;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;1.04;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1994;35;3;0;38;46;15;0;61;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;1.32;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1995;18;3;2;23;34;11;19;64;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;3.44;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1996;53;2;0;55;76;7;0;83;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1997;30;8;0;38;43;36;0;79;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;10.04;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1998;29;7;0;36;52;35;0;87;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;4.8;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;1999;45;5;0;50;51;19;0;70;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;1.92;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;2000;137;7;0;144;231;30;0;261;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;0.76;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;2001;139;30;4;173;251;141;32;424;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;4.2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201423;142.3AZ;Nordfolda;x;Trøndelag;Høylandet;2002;113;4;4;121;136;16;38;190;0.55;0.7;0.55;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;124;62;186;0;0;0;NA;5.12;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
