Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1993;24;0;0;24;32;0;0;32;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1994;127;7;0;134;203;28;0;231;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1995;33;2;0;35;46;8;0;54;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1996;12;2;0;14;18;8;0;26;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;1.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1997;4;0;0;4;6;0;0;6;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1998;261;2;0;263;312;7;0;319;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;1999;70;3;0;73;81;14;0;95;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;1.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;2000;46;4;0;50;72;18;0;90;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;1.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;2001;44;4;0;48;73;17;0;90;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202822;028.22Z;N_Varhaugelv;Tvihaugbekken;Rogaland;Haa;2002;13;0;0;13;21;0;0;21;0.55;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;83.17241379;62.37931034;103.9655172;0;0;0;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
