Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200881;088.1Z;Oldenelva;x;SF;Stryn;1993;4;7;32;43;7;38;306;351;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;227.1103448;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1994;35;6;16;57;78;32;168;278;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1995;18;9;12;39;34;48;101;183;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1996;2;11;11;24;3;60;97;160;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1997;29;32;38;99;59;155;408;622;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1998;9;19;10;38;16;113;94;223;0.1;0.7;0.55;0.288;0.384;0.48;0.228;0.304;0.38;0.216;0.288;0.36;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;1999;4;4;7;15;9;23;54;86;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2000;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;;;;;31.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2001;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;19.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2002;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;19.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2003;16;12;9;37;33;65;86;184;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2004;14;26;5;45;23;138;42;203;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2005;22;38;12;72;43;193;111;347;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;32.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2006;20;33;9;62;38;154;70;262;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2007;2;33;14;49;5;178;126;308;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;17.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2008;3;35;24;62;7;179;238;424;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;17.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2009;4;16;8;28;5.5;73;68;146.5;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2010;7;27;22;56;13.9;151;189;353.9;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2011;5;31;10;46;9.5;161.4;102;272.9;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;15.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2012;9;32;28;69;19.9;161.3;250.2;431.4;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;14.89361702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2013;2;32;19;53;4.8;174.3;173.5;352.6;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.1;0.2;0.35;151.4068966;113.5551724;189.2586208;0;0;0;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2014;10;8;18;36;20;34;172;226;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.05;0.1;0.15;151.4068966;113.5551724;189.2586208;0;0;0;25;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2015;4;18;1;23;7;92;10;109;0.1;0.7;0.55;0.4;0.45;0.6;0.2;0.3;0.5;0.05;0.1;0.15;151.4068966;113.5551724;189.2586208;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2016;2;12;9;23;3.4;55.5;68.4;127.3;0.1;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;151.4068966;113.5551724;189.2586208;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2017;4;14;9;27;9;78;78;165;0.1;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;151.4068966;113.5551724;189.2586208;0;0;0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2018;10;13;7;30;22;62;57;141;0.1;0.7;0.55;0.25;0.35;0.45;0.1;0.15;0.25;0.05;0.1;0.15;151.4068966;113.5551724;189.2586208;0;0;0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200881;088.1Z;Oldenelva;x;SF;Stryn;2019;8;19;23;50;16.3;98.9;212.1;327.3;0.1;0.7;0.55;;;;;;;;;;151.4068966;113.5551724;189.2586208;0;0;0;;5;;20;29;58;107;38.3;142.8;526.6;707.7;0.1;0.7;0.55;0.5;0.55;0.7;0.3;0.4;0.6;0.2;0.3;0.45;;;;;;;;;;;;;
