Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1993;1177;418;535;2130;2051;2024;4795;8870;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;18911.11724;14183.33793;23638.89655;;;;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1994;2153;629;394;3176;4345;2645;3621;10611;0.3;0.7;0.55;0.38;0.43;0.48;0.18;0.23;0.28;0.1;0.13;0.18;18911.11724;14183.33793;23638.89655;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1995;616;867;534;2017;1067;4808;4650;10525;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;18911.11724;14183.33793;23638.89655;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1996;434;174;814;1422;868;862;7432;9162;0.3;0.7;0.55;0.23;0.255;0.28;0.1;0.1;0.1;0.1;0.1;0.1;18911.11724;14183.33793;23638.89655;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1997;491;229;200;920;961;1161;1953;4075;0.3;0.7;0.55;0.29;0.315;0.34;0.1;0.1;0.1;0.1;0.1;0.1;18911.11724;14183.33793;23638.89655;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1998;2894;493;217;3604;5220;2267;2017;9504;0.3;0.7;0.55;0.44;0.49;0.54;0.24;0.29;0.34;0.14;0.19;0.24;18911.11724;14183.33793;23638.89655;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;1999;1244;759;188;2191;2253;3772;1680;7705;0.3;0.7;0.55;0.4;0.45;0.5;0.2;0.25;0.3;0.1;0.15;0.2;18911.11724;14183.33793;23638.89655;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;2000;3951;1510;731;6192;8415;6926;6550;21891;0.3;0.7;0.55;0.42;0.47;0.52;0.22;0.27;0.32;0.12;0.17;0.22;18911.11724;14183.33793;23638.89655;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;2001;4217;1959;616;6792;8760;9612;5252;23624;0.3;0.7;0.55;0.4;0.45;0.5;0.2;0.25;0.3;0.1;0.15;0.2;18911.11724;14183.33793;23638.89655;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200121;121.Z;Orkla;x;S?-Tr?delag;Orkdal;2002;4151;3118;1295;8564;7673;17024;11150;35846;0.3;0.7;0.55;0.47;0.52;0.57;0.27;0.32;0.37;0.17;0.22;0.27;18911.11724;14183.33793;23638.89655;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
