Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1993;400;0;0;400;788;0;0;788;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;2.49;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1994;393;0;0;393;706;0;0;706;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;2.49;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1995;266;8;0;274;484;31;0;515;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;1.89;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1996;206;0;0;206;371;0;0;371;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;3.18;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1997;100;35;4;139;186;134;31;351;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;4.2;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1998;434;35;0;469;616;146;0;762;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;3;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;1999;190;30;5;225;280;120;35;435;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;1;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;2000;351;72;21;444;692;334;168;1194;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;2.34;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;2001;422;129;4;555;796;573;28;1397;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;2.22;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201482;148.2Z;Sausvassdraget;Sausvatnvassdraget;Nordland;Brønnøy;2002;82;24;0;106;154;93;0;247;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;750.2896552;562.7172414;937.862069;0;0;0;NA;2.37;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
