Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1993;62;24;8;94;125;89;77;291;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1994;30;15;5;50;61;73;43;177;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1995;31;9;15;55;49;45;135;229;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1997;5;0;0;5;10;0;0;10;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1998;6;0;0;6;13;0;0;13;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;1999;7;10;0;17;15;41;0;56;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;2000;5;3;0;8;11;18;0;29;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;2001;7;5;0;12;14;18;0;32;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
999;204.Z;Signaldalselva;Lyngselva;Troms;Storfjord;2002;4;10;0;14;7;42;0;49;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;655.1089655;327.5544828;982.6634483;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
