Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1993;130;90;30;250;168;137;91;396;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1994;90;30;10;130;168;137;91;396;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1995;85;10;8;103;157;45;67;269;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1996;23;9;2;34;41;42;16;99;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1997;55;24;15;94;110;105;115;330;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1998;41;37;20;98;83;181;158;422;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;1999;59;58;9;126;117;289;72;478;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2000;47;59;24;130;100;305;196;601;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2001;189;81;21;291;398;363;178;939;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2002;78;111;37;226;159;585;302;1046;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2003;100;52;45;197;195;260;429;884;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2004;41;45;22;108;77;222;186;485;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2005;33;28;10;71;61;128;106;295;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2006;50;20;4;74;90;93;37;220;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2007;57;32;2;91;116;142;19;277;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2008;25;23;15;63;44;106;126;276;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2009;23;17;33;73;51;93;307;451;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2010;24;17;6;47;48;72;58;178;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;3;0;1;4;5;0;8;13;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2011;21;27;4;52;47;108;33;188;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2012;19;36;7;62;35;174;60;269;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2013;39;26;12;77;83;121;124;328;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;1;1;0;2;3;5;0;8;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
200144;205.Z;Skibotnelva;x;Troms;Storfjord;2014;51;33;12;96;82;182;107;371;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;1628.303448;1221.227586;2442.455172;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
