"Lregnr";"Vdrnr";"Vassdrag";"Vassdrag2";"Fylke";"Kommune";"Aar";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Laks_ant";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_vekt";"PrHuSmall";"PrHuMellom";"PrHuStor";"ExpSmallMin";"ExpSmallMed";"ExpSmallMax";"ExpMellomMin";"ExpMellomMed";"ExpMellomMax";"ExpStorMin";"ExpStorMed";"ExpStorMax";"GBMkghunner";"GBMmin";"GBMmax";"StamAntSmaHo";"StamAntMelHo";"StamAntStorHo";"Nsport";"ProsOpp";"OppdrMaalt";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg";"Gjen_ant";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_vekt";"PrHuSmall_Gjenut";"PrHuMellom_Gjenut";"PrHuStor_Gjenut";"FangstAndSmallMin";"FangstAndSmallMed";"FangstAndSmallMax";"FangstAndMellomMin";"FangstAndMellomMed";"FangstAndMellomMax";"FangstAndStorMin";"FangstAndStorMed";"FangstAndStorMax";"Obs_laks_ant_u3kg";"Obs_laks_ant_o3u7kg";"Obs_laks_ant_o7kg";"Obs_laks_ant";"Probs_small_med";"Probs_small_min";"Probs_small_max";"Probs_mellom_med";"Probs_mellom_min";"Probs_mellom_max";"Probs_stor_med";"Probs_stor_min";"Probs_stor_max"
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1993;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;3.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1994;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;0.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1995;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;9.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1997;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1998;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;4.45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";1999;9;5;0;14;16;19;0;35;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;6.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";2000;14;3;0;17;19;9;0;28;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;9.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";2001;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;2.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;2.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200221;"022.1Z";"Songdalselva(Søgne)";"S?neelva";"VestAgder";"S?ne";2003;3;0;0;3;5;0;0;5;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.05;0.2;0.3;558.6289655;418.9717241;837.9434483;0;0;0;NA;1.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
