Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201117;111.7Z;Søya;x;MR;Surnadal;1993;80;0;0;80;119;0;0;119;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1241.42069;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1994;231;4;4;239;347;24;32;403;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;5.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1995;196;12;3;211;337;48;28;413;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;6.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1996;189;10;7;206;268;52;58;378;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;7.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1997;188;24;8;220;264;92;65;421;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1998;247;19;1;267;362;71;7;440;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;14.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;1999;172;11;1;184;242;42;7;291;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;6.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;2000;202;35;1;238;301;140;8;449;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;7.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;2001;303;29;0;332;442;104;0;547;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201117;111.7Z;Søya;x;MR;Surnadal;2002;119;13;2;134;190;57;16;262;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;827.6137931;620.7103448;1034.517241;0;0;0;;10.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
