Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1993;756;67;3;826;1023;292;28;1343;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1810.282759;;;;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1994;647;11;1;659;977;42;8;1027;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1995;673;17;1;691;1043;65;8;1116;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;5.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1996;401;11;0;412;643;45;0;688;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;8.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1997;0;0;0;0;0;0;0;0;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;12.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1998;647;81;0;728;1185;333;0;1518;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;1999;827;67;14;908;1286;249;113;1648;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;2000;1425;127;6;1558;2469;538;48;3055;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;2001;1496;241;27;1764;2593;1005;229;3826;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;5.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201372;137.2Z;Steinsdalselva;Steinselva;S?-Tr?delag;Osen;2002;78;3;0;81;122;11;0;134;0.55;0.6;0.8;0.35;0.55;0.65;0.2;0.4;0.6;0.1;0.3;0.45;1206.855172;905.1413793;1508.568965;;;;;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
