Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1993;1129;256;250;1635;1906;1267;2313;5486;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;10143.86897;0;10;7;NA;1;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1994;1884;460;165;2509;3470;1953;1553;6976;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1995;753;402;174;1329;1297;2047;1592;4936;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;2;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1996;702;182;339;1223;1053;845;3169;5067;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;3;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1997;302;138;38;478;487;665;357;1509;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;22;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1998;2432;198;79;2709;4047;901;748;5696;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;1999;1297;888;119;2304;2504;4418;1155;8077;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;1;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2000;2001;1192;569;3762;4033;5832;5142;15007;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2001;1537;874;304;2715;2881;4389;2647;9918;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;1;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2002;1288;480;192;1960;2173;2289;1724;6187;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;6;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2003;2016;753;346;3115;3770;3393;3279;10443;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;1.49;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2004;294;525;218;1037;524;3019;1832;5376;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2005;864;310;347;1521;1556;1463;3364;6383;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;0;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2006;1054;630;140;1824;1694;3045;1266;6005;0.3;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;6762.57931;5071.934483;8453.224137;0;10;7;NA;2;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2007;517;532;275;1324;790;2503;2494;5788;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;6762.57931;5071.934483;8453.224137;0;10;7;NA;0.38;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2008;775;555;432;1762;1305;2692;3820;7817;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;6762.57931;5071.934483;8453.224137;0;10;7;NA;0.77;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2009;623;554;431;1608;1211;2524;3884;7619;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;6762.57931;5071.934483;8453.224137;0;10;7;NA;1.4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2010;771;516;411;1698;1554.8;2687;3581.6;7823.4;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;6762.57931;5071.934483;8453.224137;0;0;16;NA;1.4;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200124;124.Z;Stjørdalselva;x;Trøndelag;Stjørdal;2011;314;1195;344;1853;663.9;5803.4;2970.3;9437.6;0.3;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;6762.57931;5071.934483;8453.224137;NA;NA;NA;NA;7.074973601;NA;0;0;0;0;0;0;0;0;0.3;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
