Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1993;3679;138;0;3817;6939;658;0;7597;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1994;2071;347;54;2472;3166;1460;503;5129;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;0.64;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1995;2535;270;55;2860;3583;1298;505;5386;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.67;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1996;563;233;31;827;932;962;274;2168;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;3.4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1997;2368;82;9;2459;3447;336;82;3865;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;4.87;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1998;3279;337;20;3636;3892;1466;153;5511;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.33;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;1999;1749;290;14;2053;3155;1273;125;4553;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;3.65;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2000;3156;382;67;3605;5845;1802;551;8198;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;0.41;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2001;3319;541;31;3891;5335;2361;253;7949;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2002;472;103;6;581;801;440;49;1290;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;0.61;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2003;3530;329;34;3893;6447;1248;303;7998;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2004;895;356;22;1273;1381;1498;165;3044;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.38;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2005;2122;314;42;2478;3234;1281;357;4872;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.31;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2006;562;331;16;909;721;1255;128;2104;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.79;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2007;688;68;13;769;915;283;111;1319;0.55;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.18;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2008;1190;186;27;1403;1929;793;241;2963;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.05;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2009;552;78;6;636;854.5;337.7;48.5;1240.7;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.14;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2010;641;122;30;793;1057.7;534.8;226.4;1818.9;0.55;0.7;0.55;0.25;0.35;0.45;0.1;0.2;0.3;0.05;0.1;0.2;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;1.14;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2011;264;158;5;427;420.7;692.1;40.5;1153.3;0.55;0.7;0.55;0.2;0.23;0.25;0.25;0.3;0.34;0.08;0.1;0.12;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;3.84;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2012;290;110;6;406;527.4;446.1;48.9;1022.4;0.55;0.7;0.55;0.519685039;0.55984252;0.6;0.215552524;0.242776262;0.27;0.092592593;0.191296296;0.29;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.173913043;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2013;389;81;13;483;496.9;324.7;109.2;930.8;0.55;0.7;0.55;0.436588103;0.444194168;0.451800232;0.279310345;0.385109718;0.490909091;0.194029851;0.268067557;0.342105263;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.173913043;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200135;135.Z;Stordalselva;Norddalselva;Trøndelag;Åfjord;2014;341;38;0;379;572.6;154.5;0;727.1;0.55;0.7;0.55;0.15;0.25;0.35;0.1;0.2;0.3;0.05;0.1;0.2;3089.917241;2317.437931;3862.396552;NA;NA;NA;NA;2.173913043;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
