Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1993;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;4.15;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1994;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;4.15;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1995;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;3.15;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1996;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;5.3;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1997;10;1;2;13;21;5;15;41;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1998;13;3;0;16;23;14;0;37;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;6.75;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;1999;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;9.7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;2000;8;4;1;13;15;14;7;36;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;3.9;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;2001;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;3.7;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;2002;45;14;1;60;71;69;8;148;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;3.95;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;2003;62;8;0;70;92;36;0;128;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;1.95;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
201447;144.7Z;Storelva (Tosbotn);Tosbotnelva;Nordland;Brønnøy;2004;15;16;0;31;32;65;0;97;0.55;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;93.04827586;69.7862069;139.5724138;NA;NA;NA;NA;5.4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
