Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1993;77;19;2;98;124;73;18;215;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;514.5931034;NA;NA;NA;NA;8.4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1994;1435;52;40;1527;2541;267;342;3150;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;6.08;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1995;256;57;1;314;446;271;11;728;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;6.5;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1996;207;90;16;313;400;457;132;989;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;8.4;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1997;217;143;17;377;401;692;143;1236;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;11.44;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1998;195;47;10;252;368;227;73;668;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;17.12;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;1999;310;90;15;415;576;457;116;1149;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;6.88;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;2000;302;123;2;427;635;580;17;1232;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;8.16;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;2001;295;159;21;475;590;716;168;1474;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;9.44;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200983;098.3Z;Strandaelva;Storelva(Stranda);MR;Stranda;2002;0;0;0;0;0;0;0;0;0.55;0.7;0.55;0.4;0.65;0.75;0.3;0.5;0.7;0.2;0.4;0.55;343.062069;257.2965517;428.8275863;NA;NA;NA;NA;12.16;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
