Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal;EstimerFangst;VisSimulering
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1993;29;13;135;177;60;72;1273;1405;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;6;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1994;97;13;45;155;190;71;491;752;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;20;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1995;53;22;28;103;82;116;299;497;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;7;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1996;27;28;42;97;54;153;408;615;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;7;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1997;49;40;49;138;87;200;502;789;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;18;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1998;19;12;13;44;29;65;126;220;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;31;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;1999;18;9;11;38;31;47;104;182;0.1;0.7;0.55;0.3;0.45;0.55;0.3;0.35;0.45;0.2;0.3;0.45;539.7172415;269.8586208;809.5758623;0;0;0;NA;16;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2000;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2001;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2002;0;0;0;0;0;0;0;0;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2003;58;66;49;173;114;285;472;871;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2004;65;36;21;122;117;188;186;491;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2005;86;70;42;198;173;341;410;924;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2006;102;155;46;303;181;798;431;1410;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;6.96;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2007;26;52;78;156;58;275;754;1086;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2008;106;65;75;246;111;325;726;1162;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;4.88;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2009;21;47;62;130;41.6;232.9;557.5;832;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;0;NA;0;5;30;35;0;22;288;310;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
200088;088.Z;Strynselva;Strynevassdraget;Vestland;Stryn;2010;48;56;47;151;97;289.5;454.4;840.9;0.1;0.7;0.55;0.2;0.35;0.45;0.2;0.25;0.35;0.1;0.2;0.35;539.7172415;269.8586208;809.5758623;0;0;0;NA;8.5;NA;1;28;20;49;3;119;167;289;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1
